index,date,cases,Forecast 1,Forecast 2
2020-01-21,2020-01-21,1.0,,
2020-01-22,2020-01-22,0.0,,
2020-01-23,2020-01-23,0.0,,
2020-01-24,2020-01-24,1.0,,
2020-01-25,2020-01-25,1.0,,
2020-01-26,2020-01-26,2.0,,
2020-01-27,2020-01-27,0.0,,
2020-01-28,2020-01-28,0.0,,
2020-01-29,2020-01-29,0.0,,
2020-01-30,2020-01-30,1.0,,
2020-01-31,2020-01-31,1.0,,
2020-02-01,2020-02-01,1.0,,
2020-02-02,2020-02-02,3.0,,
2020-02-03,2020-02-03,0.0,,
2020-02-04,2020-02-04,0.0,,
2020-02-05,2020-02-05,1.0,,
2020-02-06,2020-02-06,0.0,,
2020-02-07,2020-02-07,0.0,,
2020-02-08,2020-02-08,0.0,,
2020-02-09,2020-02-09,0.0,,
2020-02-10,2020-02-10,1.0,,
2020-02-11,2020-02-11,0.0,,
2020-02-12,2020-02-12,1.0,,
2020-02-13,2020-02-13,1.0,,
2020-02-14,2020-02-14,0.0,,
2020-02-15,2020-02-15,0.0,,
2020-02-16,2020-02-16,0.0,,
2020-02-17,2020-02-17,10.0,,
2020-02-18,2020-02-18,0.0,,
2020-02-19,2020-02-19,0.0,,
2020-02-20,2020-02-20,2.0,,
2020-02-21,2020-02-21,3.0,,
2020-02-22,2020-02-22,0.0,,
2020-02-23,2020-02-23,0.0,,
2020-02-24,2020-02-24,13.0,,
2020-02-25,2020-02-25,2.0,,
2020-02-26,2020-02-26,15.0,,
2020-02-27,2020-02-27,0.0,,
2020-02-28,2020-02-28,5.0,,
2020-02-29,2020-02-29,5.0,,
2020-03-01,2020-03-01,16.0,,
2020-03-02,2020-03-02,16.0,,
2020-03-03,2020-03-03,21.0,,
2020-03-04,2020-03-04,36.0,,
2020-03-05,2020-03-05,67.0,,
2020-03-06,2020-03-06,82.0,,
2020-03-07,2020-03-07,117.0,,
2020-03-08,2020-03-08,119.0,,
2020-03-09,2020-03-09,201.0,,
2020-03-10,2020-03-10,268.0,,
2020-03-11,2020-03-11,245.0,,
2020-03-12,2020-03-12,404.0,,
2020-03-13,2020-03-13,538.0,,
2020-03-14,2020-03-14,672.0,,
2020-03-15,2020-03-15,698.0,,
2020-03-16,2020-03-16,903.0,,
2020-03-17,2020-03-17,1395.0,,
2020-03-18,2020-03-18,2423.0,,
2020-03-19,2020-03-19,4010.0,,
2020-03-20,2020-03-20,5564.0,,
2020-03-21,2020-03-21,6292.0,,
2020-03-22,2020-03-22,8369.0,,
2020-03-23,2020-03-23,9903.0,,
2020-03-24,2020-03-24,10240.0,,
2020-03-25,2020-03-25,14242.0,,
2020-03-26,2020-03-26,16034.0,,
2020-03-27,2020-03-27,16643.0,,
2020-03-28,2020-03-28,20274.0,,
2020-03-29,2020-03-29,17604.0,,
2020-03-30,2020-03-30,20775.0,,
2020-03-31,2020-03-31,24698.0,,
2020-04-01,2020-04-01,25399.0,,
2020-04-02,2020-04-02,29134.0,,
2020-04-03,2020-04-03,32839.0,,
2020-04-04,2020-04-04,35566.0,,
2020-04-05,2020-04-05,25647.0,,
2020-04-06,2020-04-06,30865.0,,
2020-04-07,2020-04-07,31798.0,,
2020-04-08,2020-04-08,31838.0,,
2020-04-09,2020-04-09,34689.0,,
2020-04-10,2020-04-10,33445.0,,
2020-04-11,2020-04-11,31129.0,,
2020-04-12,2020-04-12,26965.0,,
2020-04-13,2020-04-13,25731.0,,
2020-04-14,2020-04-14,27077.0,,
2020-04-15,2020-04-15,30918.0,,
2020-04-16,2020-04-16,31657.0,,
2020-04-17,2020-04-17,31666.0,,
2020-04-18,2020-04-18,28396.0,,
2020-04-19,2020-04-19,25693.0,,
2020-04-20,2020-04-20,27114.0,,
2020-04-21,2020-04-21,25523.0,,
2020-04-22,2020-04-22,27935.0,,
2020-04-23,2020-04-23,33372.0,,
2020-04-24,2020-04-24,37676.0,,
2020-04-25,2020-04-25,34186.0,,
2020-04-26,2020-04-26,26581.0,,
