state_code,county_name,state_fips,county_fips
AK,Aleutians East Borough,02,013
AK,Aleutians West Census Area,02,016
AK,Anchorage Municipality,02,020
AK,Bethel Census Area,02,050
AK,Bristol Bay Borough,02,060
AK,Denali Borough,02,068
AK,Dillingham Census Area,02,070
AK,Fairbanks North Star Borough,02,090
AK,Haines Borough,02,100
AK,Hoonah-Angoon Census Area,02,105
AK,Juneau City and Borough,02,110
AK,Kenai Peninsula Borough,02,122
AK,Ketchikan Gateway Borough,02,130
AK,Kodiak Island Borough,02,150
AK,Kusilvak Census Area,02,158
AK,Lake and Peninsula Borough,02,164
AK,Matanuska-Susitna Borough,02,170
AK,Nome Census Area,02,180
AK,North Slope Borough,02,185
AK,Northwest Arctic Borough,02,188
AK,Petersburg Borough,02,195
AK,Prince of Wales-Hyder Census Area,02,198
AK,Sitka City and Borough,02,220
AK,Skagway Municipality,02,230
AK,Southeast Fairbanks Census Area,02,240
AK,Valdez-Cordova Census Area,02,261
AK,Wrangell City and Borough,02,275
AK,Yakutat City and Borough,02,282
AK,Yukon-Koyukuk Census Area,02,290
AL,Autauga County,01,001
AL,Baldwin County,01,003
AL,Barbour County,01,005
AL,Bibb County,01,007
AL,Blount County,01,009
AL,Bullock County,01,011
AL,Butler County,01,013
AL,Calhoun County,01,015
AL,Chambers County,01,017
AL,Cherokee County,01,019
AL,Chilton County,01,021
AL,Choctaw County,01,023
AL,Clarke County,01,025
AL,Clay County,01,027
AL,Cleburne County,01,029
AL,Coffee County,01,031
AL,Colbert County,01,033
AL,Conecuh County,01,035
AL,Coosa County,01,037
AL,Covington County,01,039
AL,Crenshaw County,01,041
AL,Cullman County,01,043
AL,Dale County,01,045
AL,Dallas County,01,047
AL,DeKalb County,01,049
AL,Elmore County,01,051
AL,Escambia County,01,053
AL,Etowah County,01,055
AL,Fayette County,01,057
AL,Franklin County,01,059
AL,Geneva County,01,061
AL,Greene County,01,063
AL,Hale County,01,065
AL,Henry County,01,067
AL,Houston County,01,069
AL,Jackson County,01,071
AL,Jefferson County,01,073
AL,Lamar County,01,075
AL,Lauderdale County,01,077
AL,Lawrence County,01,079
AL,Lee County,01,081
AL,Limestone County,01,083
AL,Lowndes County,01,085
AL,Macon County,01,087
AL,Madison County,01,089
AL,Marengo County,01,091
AL,Marion County,01,093
AL,Marshall County,01,095
AL,Mobile County,01,097
AL,Monroe County,01,099
AL,Montgomery County,01,101
AL,Morgan County,01,103
AL,Perry County,01,105
AL,Pickens County,01,107
AL,Pike County,01,109
AL,Randolph County,01,111
AL,Russell County,01,113
AL,Shelby County,01,117
AL,St. Clair County,01,115
AL,Sumter County,01,119
AL,Talladega County,01,121
AL,Tallapoosa County,01,123
AL,Tuscaloosa County,01,125
AL,Walker County,01,127
AL,Washington County,01,129
AL,Wilcox County,01,131
AL,Winston County,01,133
AR,Arkansas County,05,001
AR,Ashley County,05,003
AR,Baxter County,05,005
AR,Benton County,05,007
AR,Boone County,05,009
AR,Bradley County,05,011
AR,Calhoun County,05,013
AR,Carroll County,05,015
AR,Chicot County,05,017
AR,Clark County,05,019
AR,Clay County,05,021
AR,Cleburne County,05,023
AR,Cleveland County,05,025
AR,Columbia County,05,027
AR,Conway County,05,029
AR,Craighead County,05,031
AR,Crawford County,05,033
AR,Crittenden County,05,035
AR,Cross County,05,037
AR,Dallas County,05,039
AR,Desha County,05,041
AR,Drew County,05,043
AR,Faulkner County,05,045
AR,Franklin County,05,047
AR,Fulton County,05,049
AR,Garland County,05,051
AR,Grant County,05,053
AR,Greene County,05,055
AR,Hempstead County,05,057
AR,Hot Spring County,05,059
AR,Howard County,05,061
AR,Independence County,05,063
AR,Izard County,05,065
AR,Jackson County,05,067
AR,Jefferson County,05,069
AR,Johnson County,05,071
AR,Lafayette County,05,073
AR,Lawrence County,05,075
AR,Lee County,05,077
AR,Lincoln County,05,079
AR,Little River County,05,081
AR,Logan County,05,083
AR,Lonoke County,05,085
AR,Madison County,05,087
AR,Marion County,05,089
AR,Miller County,05,091
AR,Mississippi County,05,093
AR,Monroe County,05,095
AR,Montgomery County,05,097
AR,Nevada County,05,099
AR,Newton County,05,101
AR,Ouachita County,05,103
AR,Perry County,05,105
AR,Phillips County,05,107
AR,Pike County,05,109
AR,Poinsett County,05,111
AR,Polk County,05,113
AR,Pope County,05,115
AR,Prairie County,05,117
AR,Pulaski County,05,119
AR,Randolph County,05,121
AR,Saline County,05,125
AR,Scott County,05,127
AR,Searcy County,05,129
AR,Sebastian County,05,131
AR,Sevier County,05,133
AR,Sharp County,05,135
