"Week","State","Variant","CaseCount"
"2020-04-27","California","20I (Alpha, V1)",0
"2020-05-11","California","20I (Alpha, V1)",0
"2020-05-25","California","20I (Alpha, V1)",0
"2020-06-08","California","20I (Alpha, V1)",0
"2020-06-22","California","20I (Alpha, V1)",0
"2020-07-06","California","20I (Alpha, V1)",0
"2020-07-20","California","20I (Alpha, V1)",0
"2020-08-03","California","20I (Alpha, V1)",0
"2020-08-17","California","20I (Alpha, V1)",0
"2020-08-31","California","20I (Alpha, V1)",0
"2020-09-14","California","20I (Alpha, V1)",0
"2020-09-28","California","20I (Alpha, V1)",0
"2020-10-12","California","20I (Alpha, V1)",0
"2020-10-26","California","20I (Alpha, V1)",0
"2020-11-09","California","20I (Alpha, V1)",0
"2020-11-23","California","20I (Alpha, V1)",0
"2020-12-07","California","20I (Alpha, V1)",6
"2020-12-21","California","20I (Alpha, V1)",102
"2021-01-11","California","20I (Alpha, V1)",125
"2021-01-25","California","20I (Alpha, V1)",232
"2021-02-08","California","20I (Alpha, V1)",465
"2021-02-22","California","20I (Alpha, V1)",836
"2021-03-08","California","20I (Alpha, V1)",1497
"2021-03-22","California","20I (Alpha, V1)",2224
"2021-04-05","California","20I (Alpha, V1)",3080
"2021-04-19","California","20I (Alpha, V1)",3018
"2021-05-03","California","20I (Alpha, V1)",2868
"2021-05-17","California","20I (Alpha, V1)",1843
"2021-05-31","California","20I (Alpha, V1)",1141
"2021-06-14","California","20I (Alpha, V1)",999
"2021-06-28","California","20I (Alpha, V1)",737
"2021-07-12","California","20I (Alpha, V1)",500
"2021-07-26","California","20I (Alpha, V1)",225
"2021-08-09","California","20I (Alpha, V1)",44
"2021-08-23","California","20I (Alpha, V1)",14
"2021-09-06","California","20I (Alpha, V1)",31
"2021-09-20","California","20I (Alpha, V1)",1
"2021-10-04","California","20I (Alpha, V1)",0
"2021-10-18","California","20I (Alpha, V1)",0
"2021-11-01","California","20I (Alpha, V1)",0
"2021-11-15","California","20I (Alpha, V1)",0
"2021-11-29","California","20I (Alpha, V1)",0
"2021-12-13","California","20I (Alpha, V1)",0
"2021-12-27","California","20I (Alpha, V1)",0
"2022-01-10","California","20I (Alpha, V1)",0
"2022-01-24","California","20I (Alpha, V1)",0
"2022-02-07","California","20I (Alpha, V1)",0
"2022-02-21","California","20I (Alpha, V1)",0
"2022-03-07","California","20I (Alpha, V1)",0
