"","Alabama.week","Alabama.total_sequences","Alabama.20I..Alpha..V1.","Alabama.20H..Beta..V2.","Alabama.20J..Gamma..V3.","Alabama.21A..Delta.","Alabama.21I..Delta.","Alabama.21J..Delta.","Alabama.21K..Omicron.","Alabama.21L..Omicron.","Alabama.22B..Omicron.","Alabama.22C..Omicron.","Alabama.21D..Eta.","Alabama.21F..Iota.","Alabama.21G..Lambda.","Alabama.21H..Mu.","Alabama.20B.S.732A","Alabama.20E..EU1.","Alabama.21C..Epsilon.","Alabama.S.677H.Robin1","Alabama.S.677P.Pelican","Alabama.20A.EU2","Alabama.20G.S.677H.Robin2","Alabama.20G.S.677H.Yellowhammer","Alabama.20G.S.677H.Bluebird","Alabama.20G.S.677H.Quail"
"1","2020-04-27",5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2","2020-05-11",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3","2020-05-25",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4","2020-07-06",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5","2020-07-20",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6","2020-08-03",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7","2020-08-17",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8","2020-08-31",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9","2020-09-28",67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0
"10","2020-10-12",33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0
"11","2020-10-26",310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,29,21,0,0
"12","2020-11-09",253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,41,18,0,0
"13","2020-11-23",656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,0,0,110,30,0,0
"14","2020-12-07",88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,2,0,0
"15","2020-12-21",144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,1,38,5,1,0
"16","2021-01-11",61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,14,3,0,0
"17","2021-01-25",182,6,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,2,11,1,0,36,13,0,1
"18","2021-02-08",78,6,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,2,4,3,0,18,1,0,0
"19","2021-02-22",172,59,0,0,0,0,0,0,0,0,0,0,3,0,0,6,0,6,0,2,0,43,4,0,0
"20","2021-03-08",133,56,1,0,0,0,0,0,0,0,0,0,0,1,0,3,0,8,1,0,0,25,2,0,0
"21","2021-03-22",161,115,1,6,0,0,0,0,0,0,0,0,8,1,1,7,0,5,1,1,0,5,1,0,0
"22","2021-04-05",198,156,0,5,0,1,0,0,0,0,0,1,7,3,0,3,0,6,0,1,0,1,0,0,0
"23","2021-04-19",171,133,0,6,1,1,0,0,0,0,0,0,3,14,0,1,0,0,0,0,0,0,1,0,0
"24","2021-05-03",188,146,0,8,0,1,9,0,0,0,0,0,5,12,0,0,0,2,0,0,0,0,1,0,0
"25","2021-05-17",153,127,0,1,0,4,3,0,0,0,0,0,2,10,0,1,0,0,0,0,0,0,0,0,0
"26","2021-05-31",107,57,0,11,0,6,16,0,0,0,0,0,6,5,0,0,0,1,0,0,0,0,0,0,0
"27","2021-06-14",121,40,0,6,12,17,32,0,0,0,0,0,1,6,6,0,0,0,0,0,0,0,0,0,0
"28","2021-06-28",264,37,0,9,20,45,141,0,0,0,0,0,1,1,6,0,0,0,0,0,0,0,0,0,0
"29","2021-07-12",1014,38,0,7,73,115,763,0,0,0,0,0,0,5,11,0,0,0,0,0,0,0,0,0,0
"30","2021-07-26",2376,35,0,10,137,273,1907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"31","2021-08-09",1745,4,0,1,75,193,1466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"32","2021-08-23",1670,2,0,2,56,184,1417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"33","2021-09-06",1356,0,0,0,38,113,1200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"34","2021-09-20",615,0,0,0,6,38,569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"35","2021-10-04",376,0,0,0,1,21,353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"36","2021-10-18",199,0,0,0,0,10,189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"37","2021-11-01",101,0,0,0,1,4,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"38","2021-11-15",75,0,0,0,0,4,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"39","2021-11-29",204,0,0,0,0,8,194,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"40","2021-12-13",337,0,0,0,0,7,138,191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"41","2021-12-27",1146,0,0,0,0,1,42,1101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"42","2022-01-10",548,0,0,0,0,0,5,539,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"43","2022-01-24",489,0,0,0,0,0,0,489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
