"","Alaska.week","Alaska.total_sequences","Alaska.20I..Alpha..V1.","Alaska.20H..Beta..V2.","Alaska.20J..Gamma..V3.","Alaska.21A..Delta.","Alaska.21I..Delta.","Alaska.21J..Delta.","Alaska.21K..Omicron.","Alaska.21L..Omicron.","Alaska.22C..Omicron.","Alaska.21D..Eta.","Alaska.21F..Iota.","Alaska.21H..Mu.","Alaska.20B.S.732A","Alaska.20E..EU1.","Alaska.21C..Epsilon.","Alaska.S.677H.Robin1","Alaska.S.677P.Pelican","Alaska.20G.S.677H.Robin2","Alaska.20G.S.677H.Quail","Alaska.20G.S.677H.Mockingbird"
"1","2020-05-25",15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2","2020-06-08",24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3","2020-06-22",49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4","2020-07-06",21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5","2020-07-20",30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6","2020-09-14",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7","2020-10-26",39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8","2020-11-09",38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"9","2020-11-23",22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"10","2020-12-07",21,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"11","2020-12-21",51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,1,0,0,0
"12","2021-01-11",35,2,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,2,0,0,0
"13","2021-01-25",92,0,0,0,0,0,0,0,0,0,0,0,0,6,3,11,3,0,0,0,0
"14","2021-02-08",216,0,0,7,0,0,0,0,0,0,0,0,0,69,0,27,2,0,1,2,1
"15","2021-02-22",91,1,0,1,0,0,0,0,0,0,0,0,0,30,0,17,0,0,0,0,0
"16","2021-03-08",107,7,1,0,0,0,0,0,0,0,1,0,0,58,0,20,0,0,0,0,0
"17","2021-03-22",213,20,0,4,0,0,0,0,0,0,0,0,0,159,0,17,0,0,1,0,0
"18","2021-04-05",235,29,2,0,0,0,0,0,0,0,0,1,0,179,0,12,1,0,0,0,0
"19","2021-04-19",350,69,0,5,0,0,0,0,0,0,0,11,0,245,0,18,0,0,0,0,0
"20","2021-05-03",355,122,2,14,0,0,0,0,0,0,0,3,12,192,0,5,0,0,0,0,0
"21","2021-05-17",188,70,0,13,0,2,1,0,0,0,0,2,21,67,0,7,0,0,0,0,0
"22","2021-05-31",130,32,2,13,1,0,17,0,0,0,0,6,19,37,0,0,0,0,0,0,0
"23","2021-06-14",161,62,0,12,9,6,33,0,0,0,0,0,36,3,0,0,0,0,0,0,0
"24","2021-06-28",259,28,0,6,93,20,87,0,0,0,0,0,24,0,0,0,0,0,0,0,0
"25","2021-07-12",615,11,0,0,210,68,300,0,0,0,0,1,24,0,0,0,0,0,0,0,0
"26","2021-07-26",356,1,0,0,86,28,230,0,0,0,0,0,11,0,0,0,0,0,0,0,0
"27","2021-08-09",1016,6,0,0,192,90,719,0,0,0,0,0,9,0,0,0,0,0,0,0,0
"28","2021-08-23",777,3,0,0,87,65,619,0,0,0,0,0,3,0,0,0,0,0,0,0,0
"29","2021-09-06",909,0,0,0,104,68,736,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"30","2021-09-20",390,0,0,0,39,30,321,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"31","2021-10-04",543,0,0,0,44,33,466,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"32","2021-10-18",427,0,0,0,24,20,381,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"33","2021-11-01",426,0,0,0,28,14,382,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"34","2021-11-15",359,0,0,0,7,3,348,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"35","2021-11-29",391,0,0,0,8,9,368,6,0,0,0,0,0,0,0,0,0,0,0,0,0
"36","2021-12-13",179,0,0,0,1,1,92,85,0,0,0,0,0,0,0,0,0,0,0,0,0
"37","2021-12-27",337,0,0,0,3,0,19,314,1,0,0,0,0,0,0,0,0,0,0,0,0
"38","2022-01-10",505,0,0,0,0,0,4,485,15,0,0,0,0,0,0,0,0,0,0,0,0
"39","2022-01-24",449,0,0,0,0,0,0,422,27,0,0,0,0,0,0,0,0,0,0,0,0
"40","2022-02-07",317,0,0,0,0,0,0,244,73,0,0,0,0,0,0,0,0,0,0,0,0
"41","2022-02-21",419,0,0,0,0,0,0,240,179,0,0,0,0,0,0,0,0,0,0,0,0
"42","2022-03-07",301,0,0,0,0,0,0,124,177,0,0,0,0,0,0,0,0,0,0,0,0
"43","2022-03-21",227,0,0,0,0,0,0,39,188,0,0,0,0,0,0,0,0,0,0,0,0
"44","2022-04-04",153,0,0,0,0,0,0,13,137,3,0,0,0,0,0,0,0,0,0,0,0
"45","2022-04-18",36,0,0,0,0,0,0,0,33,3,0,0,0,0,0,0,0,0,0,0,0
"46","2022-05-02",14,0,0,0,0,0,0,0,11,3,0,0,0,0,0,0,0,0,0,0,0
