"","Arizona.week","Arizona.total_sequences","Arizona.20I..Alpha..V1.","Arizona.20H..Beta..V2.","Arizona.20J..Gamma..V3.","Arizona.21A..Delta.","Arizona.21I..Delta.","Arizona.21J..Delta.","Arizona.21K..Omicron.","Arizona.21L..Omicron.","Arizona.22A..Omicron.","Arizona.22B..Omicron.","Arizona.22C..Omicron.","Arizona.21B..Kappa.","Arizona.21D..Eta.","Arizona.21F..Iota.","Arizona.21G..Lambda.","Arizona.21H..Mu.","Arizona.20B.S.732A","Arizona.20E..EU1.","Arizona.21C..Epsilon.","Arizona.20A.S.439K","Arizona.S.677H.Robin1","Arizona.S.677P.Pelican","Arizona.20G.S.677H.Robin2","Arizona.20G.S.677H.Yellowhammer","Arizona.20G.S.677R.Roadrunner","Arizona.20G.S.677H.Bluebird","Arizona.20G.S.677H.Quail","Arizona.20G.S.677H.Mockingbird"
"1","2020-04-27",758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2","2020-05-11",318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3","2020-05-25",331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4","2020-06-08",512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5","2020-06-22",533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6","2020-07-06",449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7","2020-07-20",158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8","2020-08-03",114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9","2020-08-17",252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10","2020-08-31",194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
