"","Arkansas.week","Arkansas.total_sequences","Arkansas.20I..Alpha..V1.","Arkansas.20H..Beta..V2.","Arkansas.20J..Gamma..V3.","Arkansas.21A..Delta.","Arkansas.21I..Delta.","Arkansas.21J..Delta.","Arkansas.21K..Omicron.","Arkansas.21L..Omicron.","Arkansas.22B..Omicron.","Arkansas.22C..Omicron.","Arkansas.21B..Kappa.","Arkansas.21D..Eta.","Arkansas.21F..Iota.","Arkansas.21G..Lambda.","Arkansas.21H..Mu.","Arkansas.20B.S.732A","Arkansas.21C..Epsilon.","Arkansas.S.677H.Robin1","Arkansas.S.677P.Pelican","Arkansas.20G.S.677H.Robin2","Arkansas.20G.S.677H.Yellowhammer","Arkansas.20G.S.677H.Heron","Arkansas.20G.S.677H.Quail","Arkansas.20G.S.677H.Mockingbird"
"1","2020-05-25",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2","2020-06-22",7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3","2020-07-06",54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4","2020-07-20",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5","2020-08-17",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6","2020-08-31",10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7","2020-09-14",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8","2020-09-28",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9","2020-10-26",6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10","2020-12-07",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11","2020-12-21",36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,0,0,1
"12","2021-01-11",45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,1,1,0,0,1
"13","2021-01-25",146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,3,18,1,0,1,0,4
"14","2021-02-08",26,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,4,0,0,1,0
"15","2021-02-22",54,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,1,4,2,1,0,0,0
"16","2021-03-08",64,11,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,14,1,1,0,0,0,1,0
"17","2021-03-22",60,19,0,1,0,0,0,0,0,0,0,0,0,3,2,0,9,3,0,2,0,0,0,0,0
"18","2021-04-05",109,73,0,10,0,0,1,0,0,0,0,1,1,3,0,0,5,7,0,2,0,0,0,0,0
"19","2021-04-19",135,98,0,10,0,0,7,0,0,0,0,1,1,6,0,2,1,0,0,0,0,0,0,0,0
"20","2021-05-03",219,155,0,11,5,15,20,0,0,0,0,0,0,5,1,3,2,0,0,0,0,0,0,0,0
"21","2021-05-17",147,95,1,7,3,13,19,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
"22","2021-05-31",221,89,0,6,2,29,82,0,0,0,0,0,0,6,1,1,0,0,0,0,0,0,0,0,0
"23","2021-06-14",320,62,0,12,8,55,177,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0
"24","2021-06-28",831,51,0,4,12,164,596,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0
"25","2021-07-12",1355,33,0,8,16,272,1024,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"26","2021-07-26",1411,21,0,2,19,216,1148,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
"27","2021-08-09",1130,2,0,1,3,169,955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"28","2021-08-23",1143,3,0,0,11,151,975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29","2021-09-06",921,0,0,0,11,53,856,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"30","2021-09-20",601,0,0,0,0,45,556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"31","2021-10-04",626,0,0,0,0,30,596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"32","2021-10-18",327,0,0,0,0,12,313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"33","2021-11-01",274,0,0,0,0,3,271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"34","2021-11-15",257,0,0,0,0,5,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"35","2021-11-29",400,0,0,0,0,6,390,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"36","2021-12-13",281,0,0,0,0,4,211,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"37","2021-12-27",1206,0,0,0,0,0,122,1084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"38","2022-01-10",1137,0,0,0,0,0,8,1128,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"39","2022-01-24",675,0,0,0,0,0,1,672,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"40","2022-02-07",344,0,0,0,0,0,0,342,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"41","2022-02-21",62,0,0,0,0,0,1,60,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"42","2022-03-07",23,0,0,0,0,0,0,18,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
