"","California.week","California.total_sequences","California.20I..Alpha..V1.","California.20H..Beta..V2.","California.20J..Gamma..V3.","California.21A..Delta.","California.21I..Delta.","California.21J..Delta.","California.21K..Omicron.","California.21L..Omicron.","California.22A..Omicron.","California.22B..Omicron.","California.22C..Omicron.","California.21B..Kappa.","California.21D..Eta.","California.21F..Iota.","California.21G..Lambda.","California.21H..Mu.","California.20B.S.732A","California.20A.S.126A","California.20E..EU1.","California.21C..Epsilon.","California.20A.S.439K","California.S.677H.Robin1","California.S.677P.Pelican","California.20A.EU2","California.20G.S.677H.Robin2","California.20G.S.677H.Yellowhammer","California.20G.S.677R.Roadrunner","California.20G.S.677H.Heron","California.20G.S.677H.Bluebird","California.20G.S.677H.Quail","California.20G.S.677H.Mockingbird"
"1","2020-04-27",537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2","2020-05-11",525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3","2020-05-25",403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4","2020-06-08",371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5","2020-06-22",477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6","2020-07-06",900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7","2020-07-20",553,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8","2020-08-03",338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"9","2020-08-17",401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"10","2020-08-31",503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
"11","2020-09-14",489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,8,0
"12","2020-09-28",886,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,1,0,0,0,0,0,0,0,0,12,0
"13","2020-10-12",787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,31,0,0,0,0,0,0,0,0,0,14,0
"14","2020-10-26",741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,51,0,1,2,0,0,0,0,0,0,7,0
"15","2020-11-09",1660,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,160,0,3,7,0,0,0,0,0,0,10,0
"16","2020-11-23",3384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,552,0,26,17,0,0,0,0,0,1,21,3
"17","2020-12-07",12251,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,4,2742,0,121,104,0,4,1,5,0,0,50,9
"18","2020-12-21",10233,102,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,76,0,15,4051,1,76,77,1,10,0,2,0,1,29,8
"19","2021-01-11",10946,125,2,0,0,0,0,0,0,0,0,0,0,1,5,0,0,257,0,18,5322,3,73,82,1,22,13,6,0,1,41,2
"20","2021-01-25",10133,198,2,0,0,0,0,0,0,0,0,0,0,1,6,0,0,273,0,19,6036,4,52,73,0,13,7,1,1,0,13,2
"21","2021-02-08",10420,465,5,0,0,0,0,0,0,0,0,0,0,3,15,0,0,369,0,5,6302,0,73,90,0,34,13,1,0,0,15,2
"22","2021-02-22",7884,835,10,19,0,0,1,0,0,0,0,0,4,3,80,0,0,449,0,7,4721,0,29,53,0,13,5,0,2,0,6,2
