"","Colorado.week","Colorado.total_sequences","Colorado.20I..Alpha..V1.","Colorado.20H..Beta..V2.","Colorado.20J..Gamma..V3.","Colorado.21A..Delta.","Colorado.21I..Delta.","Colorado.21J..Delta.","Colorado.21K..Omicron.","Colorado.21L..Omicron.","Colorado.22A..Omicron.","Colorado.22B..Omicron.","Colorado.22C..Omicron.","Colorado.21D..Eta.","Colorado.21F..Iota.","Colorado.21G..Lambda.","Colorado.21H..Mu.","Colorado.20B.S.732A","Colorado.21C..Epsilon.","Colorado.20A.S.439K","Colorado.S.677H.Robin1","Colorado.S.677P.Pelican","Colorado.20A.EU2","Colorado.20A.S.98F","Colorado.20G.S.677H.Robin2","Colorado.20G.S.677H.Yellowhammer","Colorado.20G.S.677H.Bluebird","Colorado.20G.S.677H.Quail","Colorado.20G.S.677H.Mockingbird"
"1","2020-04-27",242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2","2020-05-11",241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3","2020-05-25",147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4","2020-06-08",135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5","2020-06-22",217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6","2020-07-06",673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7","2020-07-20",505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8","2020-08-03",284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9","2020-08-17",252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10","2020-08-31",200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11","2020-09-14",520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12","2020-09-28",557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"13","2020-10-12",652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,3,0
"14","2020-10-26",566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,1,0,0,0,0,0,1,0
"15","2020-11-09",759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,1,0,0,0,0,0,1,0
"16","2020-11-23",651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,4,2,0,0,0,0,0,0,0
"17","2020-12-07",544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,8,1,0,0,0,0,0,0,0
"18","2020-12-21",579,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,9,0,15,6,0,0,2,0,0,4,1
"19","2021-01-11",441,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,42,0,17,28,3,0,2,1,0,1,0
"20","2021-01-25",415,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,71,0,11,19,0,0,5,0,0,1,0
"21","2021-02-08",414,50,1,0,0,0,0,0,0,0,0,0,0,1,0,0,24,84,0,4,14,0,0,11,0,0,0,0
"22","2021-02-22",733,197,9,0,0,0,0,0,0,0,0,0,0,16,0,0,45,201,0,6,29,0,0,5,0,1,0,3
"23","2021-03-08",1434,646,9,6,0,0,0,0,0,0,0,0,1,66,2,0,69,344,0,5,29,0,0,6,0,0,0,0
"24","2021-03-22",1992,1284,7,17,0,0,0,0,0,0,0,0,0,93,1,0,96,339,0,1,12,0,1,2,2,0,0,1
"25","2021-04-05",2465,1752,9,52,0,0,0,0,0,0,0,0,1,154,0,1,60,310,0,3,2,0,0,0,1,0,0,0
"26","2021-04-19",2534,2023,9,93,0,0,29,0,0,0,0,0,0,186,2,8,23,96,0,0,0,0,0,0,1,0,0,0
"27","2021-05-03",3325,2662,9,120,0,6,177,0,0,0,0,0,1,145,7,7,19,66,0,0,0,0,0,0,0,0,0,0
"28","2021-05-17",2131,1496,3,87,2,6,367,0,0,0,0,0,0,86,7,15,2,17,0,0,0,0,0,0,0,0,0,0
"29","2021-05-31",1357,667,0,41,1,13,562,0,0,0,0,0,0,40,0,6,2,0,0,0,0,0,0,0,0,0,0,0
"30","2021-06-14",1095,201,0,37,5,28,794,0,0,0,0,0,0,5,1,11,1,1,0,0,0,0,0,0,0,0,0,0
"31","2021-06-28",1506,91,0,28,53,88,1191,0,0,0,0,0,0,9,2,30,0,0,0,0,0,0,0,0,0,0,0,0
"32","2021-07-12",2470,66,0,12,116,227,1998,0,0,0,0,0,0,2,4,22,0,0,0,0,0,0,0,0,0,0,0,0
"33","2021-07-26",3926,24,2,8,186,390,3281,0,0,0,0,0,0,1,2,16,0,0,0,0,0,0,0,0,0,0,0,0
"34","2021-08-09",4540,7,1,0,209,462,3840,0,0,0,0,0,0,0,2,16,0,0,0,0,0,0,0,0,0,0,0,0
"35","2021-08-23",5179,2,0,0,119,357,4695,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"36","2021-09-06",6292,1,0,0,131,439,5714,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"37","2021-09-20",7214,0,0,1,94,329,6785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"38","2021-10-04",9714,0,0,0,110,368,9230,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
"39","2021-10-18",10922,1,0,0,110,304,10497,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"40","2021-11-01",15811,0,0,1,206,410,15173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"41","2021-11-15",11484,0,0,0,131,277,11036,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"42","2021-11-29",8516,0,0,0,79,180,8168,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"43","2021-12-13",9648,1,0,0,33,76,4100,5435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"44","2021-12-27",16869,0,0,0,9,15,810,16029,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
