"","Connecticut.week","Connecticut.total_sequences","Connecticut.20I..Alpha..V1.","Connecticut.20H..Beta..V2.","Connecticut.20J..Gamma..V3.","Connecticut.21A..Delta.","Connecticut.21I..Delta.","Connecticut.21J..Delta.","Connecticut.21K..Omicron.","Connecticut.21L..Omicron.","Connecticut.22A..Omicron.","Connecticut.22B..Omicron.","Connecticut.22C..Omicron.","Connecticut.21B..Kappa.","Connecticut.21D..Eta.","Connecticut.21F..Iota.","Connecticut.21G..Lambda.","Connecticut.21H..Mu.","Connecticut.20B.S.732A","Connecticut.21C..Epsilon.","Connecticut.S.677H.Robin1","Connecticut.S.677P.Pelican","Connecticut.20G.S.677H.Robin2","Connecticut.20G.S.677R.Roadrunner","Connecticut.20G.S.677H.Heron","Connecticut.20G.S.677H.Bluebird","Connecticut.20G.S.677H.Quail","Connecticut.20G.S.677H.Mockingbird"
"1","2020-04-27",29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2","2020-05-11",9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3","2020-05-25",5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4","2020-06-08",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5","2020-06-22",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6","2020-07-06",6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7","2020-07-20",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8","2020-08-03",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9","2020-08-17",13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
"10","2020-08-31",16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11","2020-09-14",11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12","2020-09-28",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13","2020-10-12",11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"14","2020-10-26",25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0
"15","2020-11-09",15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
"16","2020-11-23",15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0
"17","2020-12-07",53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,4,0,0
