"","Florida.week","Florida.total_sequences","Florida.20I..Alpha..V1.","Florida.20H..Beta..V2.","Florida.20J..Gamma..V3.","Florida.21A..Delta.","Florida.21I..Delta.","Florida.21J..Delta.","Florida.21K..Omicron.","Florida.21L..Omicron.","Florida.22A..Omicron.","Florida.22B..Omicron.","Florida.22C..Omicron.","Florida.21B..Kappa.","Florida.21D..Eta.","Florida.21F..Iota.","Florida.21G..Lambda.","Florida.21H..Mu.","Florida.20B.S.732A","Florida.20E..EU1.","Florida.21C..Epsilon.","Florida.20A.S.439K","Florida.S.677H.Robin1","Florida.S.677P.Pelican","Florida.20A.EU2","Florida.20A.S.98F","Florida.20G.S.677H.Robin2","Florida.20G.S.677H.Yellowhammer","Florida.20G.S.677H.Bluebird","Florida.20G.S.677H.Quail","Florida.20G.S.677H.Mockingbird"
"1","2020-04-27",99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2","2020-05-11",95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3","2020-05-25",72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4","2020-06-08",105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5","2020-06-22",231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6","2020-07-06",257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7","2020-07-20",248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8","2020-08-03",130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9","2020-08-17",142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10","2020-08-31",113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"11","2020-09-14",121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12","2020-09-28",135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13","2020-10-12",87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"14","2020-10-26",57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0
"15","2020-11-09",180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,1,0,0,1,0,0,0,0
"16","2020-11-23",174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,8,2,0,0,4,0,0,0,0
"17","2020-12-07",103,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,4,0,0,0,1,0,0,0
"18","2020-12-21",619,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,8,2,8,3,0,0,21,5,2,0,1
"19","2021-01-11",693,131,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,7,0,32,3,18,5,0,0,19,4,0,1,0
"20","2021-01-25",1260,238,1,0,0,0,0,0,0,0,0,0,0,1,10,1,0,26,11,111,0,37,15,0,0,43,5,3,1,5
"21","2021-02-08",2384,585,1,10,0,0,0,0,0,0,0,0,0,2,15,4,0,73,3,256,0,60,43,1,0,113,16,4,3,2
"22","2021-02-22",2334,1034,3,28,0,0,0,0,0,0,0,0,0,1,51,6,0,63,1,230,0,33,36,0,0,69,17,6,1,6
"23","2021-03-08",4175,2553,11,107,0,0,0,0,0,0,0,0,0,7,186,18,8,126,0,278,1,32,34,0,1,67,3,4,1,3
"24","2021-03-22",4924,3143,13,238,0,0,2,0,0,0,0,0,1,17,516,13,9,82,0,238,0,10,15,0,0,36,6,1,0,0
"25","2021-04-05",6433,4440,21,513,5,0,0,0,0,0,0,0,2,10,687,12,26,54,0,142,1,7,14,0,0,11,2,0,0,0
"26","2021-04-19",5599,3928,22,582,18,12,7,0,0,0,0,0,5,4,543,24,64,33,0,66,2,0,3,0,0,0,0,0,0,0
"27","2021-05-03",3750,2573,12,470,20,19,8,0,0,0,0,0,0,5,355,23,70,7,0,24,0,0,0,0,0,0,0,0,0,0
"28","2021-05-17",1466,929,3,216,22,10,6,0,0,0,0,0,0,0,108,23,67,5,0,5,0,0,0,0,0,0,0,0,0,0
"29","2021-05-31",1417,692,3,274,33,74,50,0,0,0,0,0,0,0,77,11,126,0,0,2,0,0,0,0,0,0,0,0,0,0
"30","2021-06-14",2437,811,0,368,158,379,314,0,0,0,0,0,0,0,65,18,242,0,0,0,0,0,0,0,0,1,0,0,0,0
"31","2021-06-28",3943,492,1,239,436,1120,1365,0,0,0,0,0,0,0,29,22,185,0,0,1,0,0,0,0,0,0,0,0,0,0
"32","2021-07-12",9538,316,2,200,1209,2667,4820,0,0,0,0,0,0,0,9,9,250,0,0,0,0,0,0,0,0,0,0,0,0,1
"33","2021-07-26",15468,163,0,134,1523,3967,9420,0,0,0,0,0,0,0,6,1,153,0,0,0,0,0,0,0,0,0,0,0,0,0
"34","2021-08-09",6336,36,0,8,427,1589,4230,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0
"35","2021-08-23",7655,9,1,11,296,1615,5672,0,0,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
"36","2021-09-06",6170,1,0,4,134,1074,4926,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"37","2021-09-20",4196,0,0,5,65,567,3542,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"38","2021-10-04",3029,2,0,1,25,256,2720,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"39","2021-10-18",1987,0,0,2,11,114,1839,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"40","2021-11-01",1703,0,0,0,24,67,1600,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"41","2021-11-15",1391,0,0,0,5,50,1324,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"42","2021-11-29",1704,0,0,0,5,42,1356,300,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"43","2021-12-13",4733,0,0,0,1,12,552,4163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"44","2021-12-27",6081,0,0,0,0,2,86,5969,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"45","2022-01-10",4765,0,0,0,0,1,18,4741,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"46","2022-01-24",4526,0,0,0,0,0,3,4502,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"47","2022-02-07",4360,0,0,0,0,0,4,4250,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48","2022-02-21",2661,0,0,0,0,0,0,2346,304,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"49","2022-03-07",1673,0,0,0,0,0,0,921,743,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"50","2022-03-21",1964,0,0,0,0,0,0,355,1496,0,0,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"51","2022-04-04",2465,0,0,0,0,0,0,145,1999,0,0,318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"52","2022-04-18",2377,0,0,0,0,0,0,35,1715,5,3,610,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"53","2022-05-02",707,0,0,0,0,0,0,6,429,1,1,269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
