"","Georgia.week","Georgia.total_sequences","Georgia.20I..Alpha..V1.","Georgia.20H..Beta..V2.","Georgia.20J..Gamma..V3.","Georgia.21A..Delta.","Georgia.21I..Delta.","Georgia.21J..Delta.","Georgia.21K..Omicron.","Georgia.21L..Omicron.","Georgia.22A..Omicron.","Georgia.22B..Omicron.","Georgia.22C..Omicron.","Georgia.21B..Kappa.","Georgia.21D..Eta.","Georgia.21F..Iota.","Georgia.21G..Lambda.","Georgia.21H..Mu.","Georgia.20B.S.732A","Georgia.20E..EU1.","Georgia.21C..Epsilon.","Georgia.20A.S.439K","Georgia.S.677H.Robin1","Georgia.S.677P.Pelican","Georgia.20A.EU2","Georgia.20G.S.677H.Robin2","Georgia.20G.S.677H.Yellowhammer","Georgia.20G.S.677R.Roadrunner","Georgia.20G.S.677H.Bluebird","Georgia.20G.S.677H.Quail","Georgia.20G.S.677H.Mockingbird"
"1","2020-04-27",22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2","2020-05-11",5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3","2020-05-25",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4","2020-06-08",6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5","2020-06-22",38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6","2020-07-06",24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7","2020-07-20",43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8","2020-08-03",18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9","2020-08-17",13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10","2020-08-31",35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11","2020-09-14",17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12","2020-09-28",12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13","2020-10-12",49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"14","2020-10-26",91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15","2020-11-09",31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"16","2020-11-23",32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0
"17","2020-12-07",66,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0
"18","2020-12-21",518,13,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,16,0,18,6,1,17,5,0,0,0,0
"19","2021-01-11",305,20,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,1,0,11,0,5,10,2,13,10,0,0,0,0
"20","2021-01-25",466,41,1,0,0,0,0,0,0,0,0,0,0,7,0,1,0,3,0,23,1,8,9,1,31,4,0,0,1,1
"21","2021-02-08",729,66,6,0,0,0,0,0,0,0,0,0,0,2,1,1,0,18,1,35,0,17,11,5,43,6,1,0,1,1
"22","2021-02-22",703,200,6,0,0,0,0,0,0,0,0,0,0,3,12,0,0,35,1,48,0,16,7,0,46,4,1,0,0,0
"23","2021-03-08",856,485,24,2,0,0,0,0,0,0,0,0,1,4,21,2,0,29,0,45,5,13,5,0,25,2,0,3,0,0
"24","2021-03-22",813,570,16,11,0,0,0,0,0,0,0,0,3,3,47,5,0,10,0,28,2,2,2,0,9,0,1,0,0,0
"25","2021-04-05",837,651,18,20,1,2,0,0,0,0,0,0,2,1,49,4,0,7,0,20,0,1,5,0,3,0,0,0,0,0
"26","2021-04-19",741,582,15,30,2,3,3,0,0,0,0,0,0,0,39,1,6,6,0,7,0,3,0,0,1,0,0,0,0,0
"27","2021-05-03",689,545,12,48,1,1,3,0,0,0,0,0,0,2,28,4,11,2,0,4,0,0,0,0,0,0,0,0,0,0
"28","2021-05-17",265,205,3,18,0,2,1,0,0,0,0,0,0,0,11,4,10,0,0,0,0,0,0,0,0,0,0,0,0,0
"29","2021-05-31",196,125,0,22,4,3,10,0,0,0,0,0,0,0,4,3,9,0,0,1,0,0,0,0,0,0,0,0,0,0
"30","2021-06-14",351,174,0,21,16,34,70,0,0,0,0,0,0,0,7,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0
"31","2021-06-28",696,78,0,14,46,130,394,0,0,0,0,0,0,0,4,1,26,0,0,0,0,0,0,0,0,0,0,0,0,0
"32","2021-07-12",1730,67,0,25,85,309,1208,0,0,0,0,0,0,0,1,5,24,0,0,0,0,0,0,0,0,0,0,0,0,0
"33","2021-07-26",5093,42,0,20,194,881,3910,0,0,0,0,0,0,0,1,1,20,0,0,0,0,0,0,0,0,0,0,0,0,0
"34","2021-08-09",4019,1,0,4,131,567,3301,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0
"35","2021-08-23",4770,3,0,4,115,652,3976,0,0,0,0,0,0,0,1,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0
"36","2021-09-06",3737,0,0,0,37,459,3228,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"37","2021-09-20",2275,0,0,1,14,197,2059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"38","2021-10-04",1646,0,0,0,7,103,1535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"39","2021-10-18",1061,0,0,0,2,89,965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"40","2021-11-01",835,0,0,0,1,38,789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"41","2021-11-15",655,0,0,0,1,29,620,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
