"","Guam.week","Guam.total_sequences","Guam.20I..Alpha..V1.","Guam.20H..Beta..V2.","Guam.21A..Delta.","Guam.21I..Delta.","Guam.21J..Delta.","Guam.21K..Omicron.","Guam.21L..Omicron.","Guam.21C..Epsilon.","Guam.20G.S.677H.Quail"
"1","2020-11-23",6,0,0,0,0,0,0,0,0,0
"2","2020-12-07",12,0,0,0,0,0,0,0,0,0
"3","2020-12-21",8,0,0,0,0,0,0,0,0,0
"4","2021-01-11",16,0,0,0,0,0,0,0,8,0
"5","2021-01-25",14,0,0,0,0,0,0,0,6,2
"6","2021-02-08",9,1,0,0,0,0,0,0,6,0
"7","2021-02-22",1,0,0,0,0,0,0,0,0,0
"8","2021-03-08",3,2,0,0,0,0,0,0,0,0
"9","2021-03-22",3,1,0,0,0,0,0,0,1,0
"10","2021-04-05",7,6,1,0,0,0,0,0,0,0
"11","2021-04-19",18,15,2,1,0,0,0,0,0,0
"12","2021-05-03",3,3,0,0,0,0,0,0,0,0
"13","2021-05-17",2,0,0,0,0,0,0,0,0,0
"14","2021-05-31",16,13,1,0,0,0,0,0,0,0
"15","2021-06-14",12,11,0,0,0,1,0,0,0,0
"16","2021-06-28",22,12,0,0,0,10,0,0,0,0
"17","2021-07-12",10,8,0,0,0,2,0,0,0,0
"18","2021-07-26",49,8,0,2,1,38,0,0,0,0
"19","2021-08-09",59,2,0,1,2,54,0,0,0,0
"20","2021-08-23",11,0,0,0,0,11,0,0,0,0
"21","2021-09-06",10,0,0,0,0,10,0,0,0,0
"22","2021-09-20",40,0,0,0,0,40,0,0,0,0
"23","2021-10-04",48,0,0,0,0,48,0,0,0,0
"24","2021-10-18",2,0,0,0,0,2,0,0,0,0
"25","2021-11-01",20,0,0,0,0,20,0,0,0,0
"26","2021-11-15",17,0,0,0,0,17,0,0,0,0
"27","2021-11-29",12,0,0,0,1,11,0,0,0,0
"28","2021-12-13",14,0,0,0,0,7,7,0,0,0
"29","2021-12-27",55,0,0,0,0,1,54,0,0,0
"30","2022-01-10",66,0,0,0,0,0,54,12,0,0
"31","2022-01-24",19,0,0,0,0,0,3,16,0,0
"32","2022-02-07",68,0,0,0,0,0,3,65,0,0
"33","2022-02-21",13,0,0,0,0,0,0,13,0,0
"34","2022-03-07",39,0,0,0,0,0,1,38,0,0
"35","2022-03-21",4,0,0,0,0,0,0,4,0,0
"36","2022-04-04",7,0,0,0,0,0,0,7,0,0
