"","Hawaii.week","Hawaii.total_sequences","Hawaii.20I..Alpha..V1.","Hawaii.20H..Beta..V2.","Hawaii.20J..Gamma..V3.","Hawaii.21A..Delta.","Hawaii.21I..Delta.","Hawaii.21J..Delta.","Hawaii.21K..Omicron.","Hawaii.21L..Omicron.","Hawaii.22A..Omicron.","Hawaii.22C..Omicron.","Hawaii.21F..Iota.","Hawaii.21H..Mu.","Hawaii.20B.S.732A","Hawaii.21C..Epsilon.","Hawaii.S.677H.Robin1","Hawaii.S.677P.Pelican","Hawaii.20G.S.677H.Robin2","Hawaii.20G.S.677H.Yellowhammer","Hawaii.20G.S.677H.Quail"
"1","2020-04-27",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2","2020-05-25",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3","2020-06-08",25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4","2020-06-22",17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5","2020-07-06",22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6","2020-07-20",32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7","2020-08-03",116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8","2020-08-17",40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9","2020-08-31",40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10","2020-09-14",50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11","2020-09-28",66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12","2020-10-12",37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13","2020-10-26",32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"14","2020-11-09",12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15","2020-11-23",104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"16","2020-12-07",100,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"17","2020-12-21",145,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0
"18","2021-01-11",84,4,0,0,0,0,0,0,0,0,0,0,0,3,20,1,1,3,1,0
"19","2021-01-25",120,1,0,0,0,0,0,0,0,0,0,1,0,6,49,4,7,0,0,0
"20","2021-02-08",123,0,3,0,0,0,0,0,0,0,0,2,0,3,83,1,5,0,0,0
"21","2021-02-22",172,12,3,0,0,0,0,0,0,0,0,2,0,7,110,12,3,1,0,0
"22","2021-03-08",183,21,2,1,0,0,0,0,0,0,0,6,0,3,128,1,1,1,0,0
"23","2021-03-22",188,51,1,5,0,0,0,0,0,0,0,1,0,2,119,0,0,0,0,0
"24","2021-04-05",279,108,2,15,0,0,0,0,0,0,0,12,0,12,115,0,0,0,0,0
"25","2021-04-19",233,135,3,18,0,0,0,0,0,0,0,11,0,5,58,0,0,0,0,0
"26","2021-05-03",141,82,0,21,0,0,0,0,0,0,0,10,0,2,24,0,0,0,0,0
"27","2021-05-17",184,99,0,33,2,0,1,0,0,0,0,19,2,0,27,0,0,0,0,0
"28","2021-05-31",189,66,0,47,9,13,2,0,0,0,0,42,6,0,4,0,0,0,0,0
"29","2021-06-14",187,72,0,29,14,14,49,0,0,0,0,6,3,0,0,0,0,0,0,0
"30","2021-06-28",266,64,2,10,39,14,122,0,0,0,0,7,8,0,0,0,0,0,0,0
"31","2021-07-12",452,21,0,5,51,17,336,0,0,0,0,6,14,0,0,0,0,0,0,0
"32","2021-07-26",471,9,0,0,36,23,392,0,0,0,0,1,9,0,0,0,0,0,0,0
"33","2021-08-09",524,5,0,0,46,31,441,0,0,0,0,0,0,0,0,0,0,0,0,0
"34","2021-08-23",563,1,1,0,81,42,437,0,0,0,0,0,1,0,0,0,0,0,0,0
"35","2021-09-06",410,0,0,0,58,19,332,0,0,0,0,0,1,0,0,0,0,0,0,0
"36","2021-09-20",514,0,2,0,53,31,428,0,0,0,0,0,0,0,0,0,0,0,0,0
"37","2021-10-04",465,0,0,0,34,13,418,0,0,0,0,0,0,0,0,0,0,0,0,0
"38","2021-10-18",366,0,0,0,20,15,331,0,0,0,0,0,0,0,0,0,0,0,0,0
"39","2021-11-01",290,0,0,0,19,28,242,0,0,0,0,0,0,0,0,0,0,0,0,0
"40","2021-11-15",289,0,0,0,6,34,247,2,0,0,0,0,0,0,0,0,0,0,0,0
"41","2021-11-29",366,0,0,0,1,18,220,127,0,0,0,0,0,0,0,0,0,0,0,0
"42","2021-12-13",575,0,0,0,0,0,63,512,0,0,0,0,0,0,0,0,0,0,0,0
"43","2021-12-27",616,0,0,0,0,1,4,611,0,0,0,0,0,0,0,0,0,0,0,0
"44","2022-01-10",457,0,0,0,0,0,5,435,17,0,0,0,0,0,0,0,0,0,0,0
"45","2022-01-24",636,0,0,0,0,0,4,603,29,0,0,0,0,0,0,0,0,0,0,0
"46","2022-02-07",416,0,0,0,0,0,0,387,29,0,0,0,0,0,0,0,0,0,0,0
"47","2022-02-21",374,0,0,0,0,0,0,287,87,0,0,0,0,0,0,0,0,0,0,0
"48","2022-03-07",268,0,0,0,0,0,0,106,162,0,0,0,0,0,0,0,0,0,0,0
"49","2022-03-21",383,0,0,0,0,0,0,80,299,0,3,0,0,0,0,0,0,0,0,0
"50","2022-04-04",755,0,0,0,0,0,0,41,646,0,66,0,0,0,0,0,0,0,0,0
"51","2022-04-18",865,0,0,0,0,0,0,14,660,0,185,0,0,0,0,0,0,0,0,0
"52","2022-05-02",112,0,0,0,0,0,0,0,68,1,43,0,0,0,0,0,0,0,0,0
