"","Idaho.week","Idaho.total_sequences","Idaho.20I..Alpha..V1.","Idaho.20H..Beta..V2.","Idaho.20J..Gamma..V3.","Idaho.21A..Delta.","Idaho.21I..Delta.","Idaho.21J..Delta.","Idaho.21K..Omicron.","Idaho.21L..Omicron.","Idaho.22C..Omicron.","Idaho.21D..Eta.","Idaho.21F..Iota.","Idaho.21H..Mu.","Idaho.20B.S.732A","Idaho.21C..Epsilon.","Idaho.20A.S.439K","Idaho.S.677H.Robin1","Idaho.S.677P.Pelican","Idaho.20G.S.677H.Robin2","Idaho.20G.S.677H.Mockingbird"
"1","2020-04-27",7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2","2020-05-11",9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3","2020-05-25",8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4","2020-06-08",22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5","2020-06-22",113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6","2020-07-06",504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7","2020-07-20",172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8","2020-08-03",190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9","2020-08-17",391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10","2020-08-31",132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11","2020-09-14",383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12","2020-09-28",275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13","2020-10-12",299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"14","2020-10-26",330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"15","2020-11-09",525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"16","2020-11-23",456,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
"17","2020-12-07",219,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,2,0,0
"18","2020-12-21",281,2,0,0,0,0,5,0,0,0,0,2,0,3,4,0,1,9,2,1
"19","2021-01-11",154,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,8
"20","2021-01-25",119,1,3,0,0,0,0,0,0,0,0,0,0,2,27,0,0,0,1,3
"21","2021-02-08",57,1,0,0,0,0,0,0,0,0,0,0,0,0,13,0,2,0,1,7
"22","2021-02-22",129,23,0,0,0,0,0,0,0,0,0,0,0,9,11,0,0,4,2,2
"23","2021-03-08",218,99,0,0,0,0,0,0,0,0,0,1,0,33,22,0,0,4,1,0
"24","2021-03-22",347,169,0,1,1,3,5,0,0,0,0,8,1,73,34,0,0,3,2,0
"25","2021-04-05",320,214,0,0,0,0,6,0,0,0,3,5,1,47,25,0,0,1,0,0
"26","2021-04-19",226,178,0,10,1,0,0,0,0,0,1,4,0,12,5,0,0,1,0,0
"27","2021-05-03",153,112,0,11,0,0,1,0,0,0,2,6,0,6,3,0,0,0,0,0
"28","2021-05-17",191,128,0,25,0,1,2,0,0,0,0,9,1,1,3,0,0,0,0,0
"29","2021-05-31",189,125,0,14,1,0,10,0,0,0,0,4,1,1,0,0,0,0,0,0
"30","2021-06-14",115,53,1,11,2,1,12,0,0,0,0,2,2,1,0,0,0,0,0,0
"31","2021-06-28",166,37,0,6,4,6,80,0,0,0,0,1,11,6,0,0,0,0,0,0
"32","2021-07-12",440,10,0,3,31,34,338,0,0,0,0,0,5,0,0,0,0,0,0,0
"33","2021-07-26",1013,9,0,6,40,80,867,0,0,0,0,0,5,0,0,0,0,0,0,0
"34","2021-08-09",1091,2,0,1,62,91,933,0,0,0,0,1,1,0,0,0,0,0,0,0
"35","2021-08-23",1019,0,0,0,33,75,910,0,0,0,0,0,0,0,0,0,0,0,0,0
"36","2021-09-06",946,0,0,0,16,76,854,0,0,0,0,0,0,0,0,0,0,0,0,0
"37","2021-09-20",1115,0,0,0,12,65,1037,0,0,0,0,0,0,0,0,0,0,0,0,0
"38","2021-10-04",929,0,0,0,14,39,875,0,0,0,0,0,0,0,0,0,0,0,0,0
"39","2021-10-18",701,0,0,0,8,31,661,0,0,0,0,0,0,0,0,0,0,0,0,0
"40","2021-11-01",352,0,0,0,10,12,329,0,0,0,0,0,0,0,0,0,0,0,0,0
"41","2021-11-15",217,0,0,0,3,9,203,1,0,0,0,0,0,0,0,0,0,0,0,0
"42","2021-11-29",228,0,0,0,0,1,226,1,0,0,0,0,0,0,0,0,0,0,0,0
"43","2021-12-13",232,0,0,0,0,1,152,78,0,0,0,0,0,0,0,0,0,0,0,0
"44","2021-12-27",583,0,0,0,0,4,73,505,1,0,0,0,0,0,0,0,0,0,0,0
"45","2022-01-10",954,0,0,0,0,0,16,937,1,0,0,0,0,0,0,0,0,0,0,0
"46","2022-01-24",835,0,0,0,0,0,4,829,2,0,0,0,0,0,0,0,0,0,0,0
