"","Illinois.week","Illinois.total_sequences","Illinois.20I..Alpha..V1.","Illinois.20H..Beta..V2.","Illinois.20J..Gamma..V3.","Illinois.21A..Delta.","Illinois.21I..Delta.","Illinois.21J..Delta.","Illinois.21K..Omicron.","Illinois.21L..Omicron.","Illinois.22A..Omicron.","Illinois.22B..Omicron.","Illinois.22C..Omicron.","Illinois.21B..Kappa.","Illinois.21D..Eta.","Illinois.21F..Iota.","Illinois.21G..Lambda.","Illinois.21H..Mu.","Illinois.20B.S.732A","Illinois.20A.S.126A","Illinois.20E..EU1.","Illinois.21C..Epsilon.","Illinois.S.677H.Robin1","Illinois.S.677P.Pelican","Illinois.20A.EU2","Illinois.20A.S.98F","Illinois.20G.S.677H.Robin2","Illinois.20G.S.677H.Yellowhammer","Illinois.20G.S.677R.Roadrunner","Illinois.20G.S.677H.Bluebird","Illinois.20G.S.677H.Quail","Illinois.20G.S.677H.Mockingbird"
"1","2020-04-27",533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2","2020-05-11",236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3","2020-05-25",158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4","2020-06-08",113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5","2020-06-22",172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6","2020-07-06",237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7","2020-07-20",262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8","2020-08-03",220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"9","2020-08-17",220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10","2020-08-31",266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
