"","Indiana.week","Indiana.total_sequences","Indiana.20I..Alpha..V1.","Indiana.20H..Beta..V2.","Indiana.20J..Gamma..V3.","Indiana.21A..Delta.","Indiana.21I..Delta.","Indiana.21J..Delta.","Indiana.21K..Omicron.","Indiana.21L..Omicron.","Indiana.22A..Omicron.","Indiana.22B..Omicron.","Indiana.22C..Omicron.","Indiana.21B..Kappa.","Indiana.21D..Eta.","Indiana.21F..Iota.","Indiana.21G..Lambda.","Indiana.21H..Mu.","Indiana.20B.S.732A","Indiana.20A.S.126A","Indiana.20E..EU1.","Indiana.21C..Epsilon.","Indiana.S.677H.Robin1","Indiana.S.677P.Pelican","Indiana.20G.S.677H.Robin2","Indiana.20G.S.677H.Yellowhammer","Indiana.20G.S.677H.Quail"
"1","2020-04-27",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2","2020-06-22",7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3","2020-07-06",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4","2020-07-20",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5","2020-08-17",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6","2020-10-26",7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7","2020-11-09",10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8","2020-11-23",20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9","2020-12-07",13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10","2020-12-21",198,3,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,3,0,0,3,14,1,0,1,1
"11","2021-01-11",195,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,8,2,7,2,0
"12","2021-01-25",385,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,1,21,14,1,38,2,0
"13","2021-02-08",563,20,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,37,0,1,58,27,4,38,0,0
"14","2021-02-22",461,60,1,1,0,0,0,0,0,0,0,0,0,0,6,0,0,32,0,0,45,17,4,39,0,1
"15","2021-03-08",756,246,4,2,0,0,0,0,0,0,0,0,0,0,16,0,0,36,0,0,63,30,6,28,1,0
"16","2021-03-22",913,481,4,24,5,0,0,0,0,0,0,0,0,1,57,0,0,57,0,0,71,16,1,19,0,0
"17","2021-04-05",1001,611,8,70,2,0,0,0,0,0,0,0,2,1,82,0,0,39,0,0,47,4,1,4,0,0
"18","2021-04-19",1444,1064,12,165,15,1,4,0,0,0,0,0,1,0,69,1,3,12,0,0,24,4,0,1,0,0
"19","2021-05-03",1467,1101,8,195,14,2,15,0,0,0,0,0,3,1,45,2,5,7,0,0,11,3,0,0,0,0
"20","2021-05-17",546,391,1,75,0,2,35,0,0,0,0,0,0,0,13,0,2,0,1,0,2,0,0,0,0,0
"21","2021-05-31",342,187,1,45,5,2,69,0,0,0,0,0,0,0,3,0,5,1,0,0,2,0,0,0,0,0
