"","Iowa.week","Iowa.total_sequences","Iowa.20I..Alpha..V1.","Iowa.20H..Beta..V2.","Iowa.20J..Gamma..V3.","Iowa.21A..Delta.","Iowa.21I..Delta.","Iowa.21J..Delta.","Iowa.21K..Omicron.","Iowa.21L..Omicron.","Iowa.22A..Omicron.","Iowa.22B..Omicron.","Iowa.22C..Omicron.","Iowa.21D..Eta.","Iowa.21F..Iota.","Iowa.21G..Lambda.","Iowa.21H..Mu.","Iowa.20B.S.732A","Iowa.21C..Epsilon.","Iowa.S.677H.Robin1","Iowa.S.677P.Pelican","Iowa.20G.S.677H.Robin2","Iowa.20G.S.677H.Bluebird","Iowa.20G.S.677H.Quail"
"1","2020-04-27",15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2","2020-05-11",7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3","2020-05-25",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4","2020-06-08",17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5","2020-06-22",6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6","2020-07-06",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7","2020-07-20",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8","2020-08-03",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9","2020-08-17",7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10","2020-08-31",20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11","2020-09-14",7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12","2020-09-28",5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13","2020-10-12",7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"14","2020-10-26",22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1
"15","2020-11-09",103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,0
"16","2020-11-23",20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
