"","Kansas.week","Kansas.total_sequences","Kansas.20I..Alpha..V1.","Kansas.20H..Beta..V2.","Kansas.20J..Gamma..V3.","Kansas.21A..Delta.","Kansas.21I..Delta.","Kansas.21J..Delta.","Kansas.21K..Omicron.","Kansas.21L..Omicron.","Kansas.22B..Omicron.","Kansas.22C..Omicron.","Kansas.21D..Eta.","Kansas.21F..Iota.","Kansas.21G..Lambda.","Kansas.21H..Mu.","Kansas.20B.S.732A","Kansas.21C..Epsilon.","Kansas.S.677H.Robin1","Kansas.S.677P.Pelican","Kansas.20G.S.677H.Robin2","Kansas.20G.S.677H.Yellowhammer","Kansas.20G.S.677H.Quail"
"1","2020-04-27",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2","2020-05-11",38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3","2020-05-25",26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4","2020-06-08",16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5","2020-07-06",251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6","2020-07-20",285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7","2020-08-03",102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8","2020-08-17",12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9","2020-08-31",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10","2020-09-14",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11","2020-09-28",5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12","2020-10-12",30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13","2020-10-26",40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"14","2020-11-09",25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
"15","2020-11-23",65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0
"16","2020-12-07",27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
"17","2020-12-21",150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,12,1,0,0
"18","2021-01-11",94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,2,5,1,0,0
"19","2021-01-25",205,1,0,0,0,0,0,0,0,0,0,0,0,0,0,14,14,5,6,0,1,0
"20","2021-02-08",84,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8,2,3,1,0,0
"21","2021-02-22",107,19,0,0,0,0,0,0,0,0,0,0,0,0,0,7,11,4,3,1,0,1
"22","2021-03-08",132,44,1,0,0,0,0,0,0,0,0,0,2,0,0,28,12,4,0,0,0,1
"23","2021-03-22",198,110,4,1,0,0,0,0,0,0,0,0,9,0,0,30,10,0,0,0,0,1
"24","2021-04-05",262,174,1,29,0,0,0,0,0,0,0,0,11,0,1,18,19,0,0,0,0,0
"25","2021-04-19",454,306,1,84,9,0,0,0,0,0,0,0,27,0,0,8,6,0,0,0,0,0
"26","2021-05-03",389,265,1,95,2,0,5,0,0,0,0,0,11,0,1,2,3,0,0,0,0,0
"27","2021-05-17",278,156,3,62,1,5,25,0,0,0,0,1,5,2,4,5,2,0,0,0,0,0
"28","2021-05-31",232,80,0,29,2,24,93,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
"29","2021-06-14",327,45,0,24,1,15,232,0,0,0,0,0,1,0,2,0,2,0,0,0,0,0
"30","2021-06-28",680,24,0,6,13,26,596,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0
"31","2021-07-12",957,9,0,3,42,53,843,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0
"32","2021-07-26",846,1,0,2,27,47,763,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
"33","2021-08-09",910,2,0,0,14,64,830,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"34","2021-08-23",950,1,0,0,12,48,887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"35","2021-09-06",950,0,0,0,16,46,887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"36","2021-09-20",776,0,0,0,4,35,736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"37","2021-10-04",536,0,0,0,0,18,515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"38","2021-10-18",910,0,0,0,1,45,861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"39","2021-11-01",1004,0,0,0,0,58,941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"40","2021-11-15",794,0,0,0,0,24,765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"41","2021-11-29",917,0,0,0,1,26,888,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"42","2021-12-13",654,0,0,0,0,10,527,116,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"43","2021-12-27",747,0,0,0,0,6,157,584,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"44","2022-01-10",1344,0,0,0,0,1,41,1300,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"45","2022-01-24",1208,0,0,0,0,0,5,1198,5,0,0,0,0,0,0,0,0,0,0,0,0,0
"46","2022-02-07",524,0,0,0,0,0,1,514,9,0,0,0,0,0,0,0,0,0,0,0,0,0
"47","2022-02-21",147,0,0,0,0,0,0,142,5,0,0,0,0,0,0,0,0,0,0,0,0,0
"48","2022-03-07",57,0,0,0,0,0,0,39,18,0,0,0,0,0,0,0,0,0,0,0,0,0
"49","2022-03-21",55,0,0,0,0,0,0,27,27,0,0,0,0,0,0,0,0,0,0,0,0,0
"50","2022-04-04",99,0,0,0,0,0,0,14,65,0,20,0,0,0,0,0,0,0,0,0,0,0
"51","2022-04-18",187,0,0,0,0,0,0,5,102,0,80,0,0,0,0,0,0,0,0,0,0,0
"52","2022-05-02",101,0,0,0,0,0,0,1,59,4,37,0,0,0,0,0,0,0,0,0,0,0
