"","Kentucky.week","Kentucky.total_sequences","Kentucky.20I..Alpha..V1.","Kentucky.20H..Beta..V2.","Kentucky.20J..Gamma..V3.","Kentucky.21A..Delta.","Kentucky.21I..Delta.","Kentucky.21J..Delta.","Kentucky.21K..Omicron.","Kentucky.21L..Omicron.","Kentucky.22C..Omicron.","Kentucky.21B..Kappa.","Kentucky.21D..Eta.","Kentucky.21F..Iota.","Kentucky.21G..Lambda.","Kentucky.21H..Mu.","Kentucky.20B.S.732A","Kentucky.20E..EU1.","Kentucky.21C..Epsilon.","Kentucky.S.677H.Robin1","Kentucky.S.677P.Pelican","Kentucky.20G.S.677H.Robin2","Kentucky.20G.S.677H.Yellowhammer","Kentucky.20G.S.677H.Quail"
"1","2020-05-11",5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2","2020-05-25",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3","2020-06-08",12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4","2020-07-06",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5","2020-08-03",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6","2020-08-17",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7","2020-08-31",10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8","2020-09-14",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9","2020-09-28",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10","2020-10-12",11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11","2020-10-26",85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
"12","2020-11-09",30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"13","2020-11-23",16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"14","2020-12-07",15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15","2020-12-21",111,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,1,0
"16","2021-01-11",84,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,2,5,0,3,1,0
"17","2021-01-25",70,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,2,2,0,0
"18","2021-02-08",112,9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,3,1,2,1,1
"19","2021-02-22",161,24,0,0,0,0,0,0,0,0,0,2,0,0,0,7,0,6,6,3,3,1,1
"20","2021-03-08",293,98,0,1,0,0,1,0,0,0,0,0,11,0,0,14,1,11,4,4,4,0,1
"21","2021-03-22",318,146,2,5,1,0,3,0,0,0,0,0,23,1,0,15,1,14,2,0,12,0,0
"22","2021-04-05",318,223,1,7,0,0,3,0,0,0,0,1,8,0,0,9,0,2,0,0,3,0,0
"23","2021-04-19",593,476,0,24,2,0,3,0,0,0,3,4,26,1,0,4,0,3,0,0,0,0,0
"24","2021-05-03",561,450,1,27,2,4,4,0,0,0,0,3,26,1,2,6,0,3,0,0,0,0,0
"25","2021-05-17",298,230,0,34,3,0,2,0,0,0,0,2,8,1,0,0,0,0,0,0,0,0,0
"26","2021-05-31",182,132,0,15,2,4,7,0,0,0,0,2,7,0,1,0,0,0,0,0,0,0,0
"27","2021-06-14",158,90,0,10,2,7,31,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0
"28","2021-06-28",230,32,0,19,8,35,124,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
"29","2021-07-12",483,21,0,7,27,83,334,0,0,0,0,0,0,1,7,0,0,0,0,0,0,0,0
"30","2021-07-26",936,9,0,8,25,126,756,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
"31","2021-08-09",1441,0,0,2,54,155,1228,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
"32","2021-08-23",2278,1,0,0,62,221,1990,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"33","2021-09-06",2101,0,0,0,36,182,1881,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"34","2021-09-20",1261,0,0,0,20,102,1139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"35","2021-10-04",1009,0,0,0,7,63,939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"36","2021-10-18",717,0,0,0,2,38,674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"37","2021-11-01",666,0,0,0,1,33,628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"38","2021-11-15",732,0,0,0,2,32,696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"39","2021-11-29",1244,0,0,0,3,25,1211,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"40","2021-12-13",982,0,0,0,0,22,721,236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"41","2021-12-27",253,0,0,0,0,1,26,226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"42","2022-01-10",672,0,0,0,0,0,10,662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"43","2022-01-24",963,0,0,0,0,0,0,960,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
