"","Louisiana.week","Louisiana.total_sequences","Louisiana.20I..Alpha..V1.","Louisiana.20J..Gamma..V3.","Louisiana.21A..Delta.","Louisiana.21I..Delta.","Louisiana.21J..Delta.","Louisiana.21K..Omicron.","Louisiana.21L..Omicron.","Louisiana.22A..Omicron.","Louisiana.22B..Omicron.","Louisiana.22C..Omicron.","Louisiana.21D..Eta.","Louisiana.21F..Iota.","Louisiana.21G..Lambda.","Louisiana.21H..Mu.","Louisiana.20B.S.732A","Louisiana.20E..EU1.","Louisiana.21C..Epsilon.","Louisiana.S.677H.Robin1","Louisiana.S.677P.Pelican","Louisiana.20G.S.677H.Robin2","Louisiana.20G.S.677H.Yellowhammer","Louisiana.20G.S.677H.Heron","Louisiana.20G.S.677H.Mockingbird"
"1","2020-04-27",130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2","2020-05-11",86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3","2020-05-25",79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4","2020-06-08",88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5","2020-06-22",140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6","2020-07-06",166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7","2020-07-20",152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8","2020-08-03",137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9","2020-08-17",171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10","2020-08-31",83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
