"","Maine.week","Maine.total_sequences","Maine.20I..Alpha..V1.","Maine.20H..Beta..V2.","Maine.20J..Gamma..V3.","Maine.21A..Delta.","Maine.21I..Delta.","Maine.21J..Delta.","Maine.21K..Omicron.","Maine.21L..Omicron.","Maine.22A..Omicron.","Maine.22C..Omicron.","Maine.21D..Eta.","Maine.21F..Iota.","Maine.21G..Lambda.","Maine.21H..Mu.","Maine.20B.S.732A","Maine.20E..EU1.","Maine.21C..Epsilon.","Maine.S.677H.Robin1","Maine.S.677P.Pelican","Maine.20A.EU2","Maine.20G.S.677H.Robin2","Maine.20G.S.677H.Yellowhammer","Maine.20G.S.677R.Roadrunner","Maine.20G.S.677H.Bluebird","Maine.20G.S.677H.Quail"
"1","2020-04-27",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2","2020-05-25",7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3","2020-06-08",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4","2020-08-17",10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5","2020-08-31",31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6","2020-09-14",63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7","2020-09-28",37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8","2020-10-12",15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9","2020-10-26",89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10","2020-11-09",48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11","2020-11-23",262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
"12","2020-12-07",235,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,24,0,0,0
