"","Maryland.week","Maryland.total_sequences","Maryland.20I..Alpha..V1.","Maryland.20H..Beta..V2.","Maryland.20J..Gamma..V3.","Maryland.21A..Delta.","Maryland.21I..Delta.","Maryland.21J..Delta.","Maryland.21K..Omicron.","Maryland.21L..Omicron.","Maryland.22A..Omicron.","Maryland.22B..Omicron.","Maryland.22C..Omicron.","Maryland.21B..Kappa.","Maryland.21D..Eta.","Maryland.21F..Iota.","Maryland.21G..Lambda.","Maryland.21H..Mu.","Maryland.20B.S.732A","Maryland.20A.S.126A","Maryland.20E..EU1.","Maryland.21C..Epsilon.","Maryland.S.677H.Robin1","Maryland.S.677P.Pelican","Maryland.20A.EU2","Maryland.20A.S.98F","Maryland.20G.S.677H.Robin2","Maryland.20G.S.677H.Yellowhammer","Maryland.20G.S.677H.Bluebird","Maryland.20G.S.677H.Quail","Maryland.20G.S.677H.Mockingbird"
"1","2020-04-27",191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2","2020-05-11",110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3","2020-05-25",228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4","2020-06-08",80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5","2020-06-22",96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6","2020-07-06",146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7","2020-07-20",104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8","2020-08-03",36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9","2020-08-17",45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10","2020-08-31",34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11","2020-09-14",72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12","2020-09-28",75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13","2020-10-12",174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"14","2020-10-26",169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"15","2020-11-09",192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0
"16","2020-11-23",267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1,0,0,0,0
"17","2020-12-07",246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,1,1,0
"18","2020-12-21",926,6,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,7,17,3,0,0,5,1,3,2,31
"19","2021-01-11",751,16,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,1,20,4,2,0,0,6,0,3,0,4
"20","2021-01-25",612,50,6,0,0,0,0,0,0,0,0,0,0,1,5,1,0,14,0,0,16,4,7,0,0,10,0,4,1,2
"21","2021-02-08",756,126,13,0,0,0,0,0,0,0,0,0,0,1,14,1,0,22,0,1,29,7,1,0,0,13,1,0,0,5
"22","2021-02-22",904,282,22,0,0,0,0,0,0,0,0,0,0,14,40,1,0,11,0,1,23,3,1,0,0,12,1,1,0,1
"23","2021-03-08",1251,603,32,3,0,0,0,0,0,0,0,0,0,24,92,1,0,29,0,0,23,6,1,0,0,15,0,4,0,4
"24","2021-03-22",1846,1178,26,10,0,0,1,0,0,0,0,0,0,20,171,6,1,17,1,0,26,3,1,0,0,4,0,0,1,0
"25","2021-04-05",2352,1697,25,21,8,0,2,0,0,0,0,0,0,16,208,4,2,11,2,0,15,4,1,0,0,0,0,0,0,1
"26","2021-04-19",1847,1396,10,21,7,4,5,0,0,0,0,0,4,8,174,0,2,1,3,0,8,0,0,0,0,0,0,0,0,0
"27","2021-05-03",1047,801,11,17,6,7,4,0,0,0,0,0,0,6,78,5,8,2,0,0,0,0,0,0,0,0,0,0,0,0
"28","2021-05-17",483,347,6,22,7,1,11,0,0,0,0,0,0,4,35,1,3,1,1,0,1,0,0,0,0,0,0,0,0,0
"29","2021-05-31",263,158,0,9,22,9,5,0,0,0,0,0,0,1,25,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0
"30","2021-06-14",195,79,0,13,18,24,22,0,0,0,0,0,0,0,14,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0
