"","Massachusetts.week","Massachusetts.total_sequences","Massachusetts.20I..Alpha..V1.","Massachusetts.20H..Beta..V2.","Massachusetts.20J..Gamma..V3.","Massachusetts.21A..Delta.","Massachusetts.21I..Delta.","Massachusetts.21J..Delta.","Massachusetts.21K..Omicron.","Massachusetts.21L..Omicron.","Massachusetts.22A..Omicron.","Massachusetts.22B..Omicron.","Massachusetts.22C..Omicron.","Massachusetts.21B..Kappa.","Massachusetts.21D..Eta.","Massachusetts.21F..Iota.","Massachusetts.21G..Lambda.","Massachusetts.21H..Mu.","Massachusetts.20B.S.732A","Massachusetts.20E..EU1.","Massachusetts.21C..Epsilon.","Massachusetts.20A.S.439K","Massachusetts.S.677H.Robin1","Massachusetts.S.677P.Pelican","Massachusetts.20A.EU2","Massachusetts.20G.S.677H.Robin2","Massachusetts.20G.S.677H.Yellowhammer","Massachusetts.20G.S.677R.Roadrunner","Massachusetts.20G.S.677H.Bluebird","Massachusetts.20G.S.677H.Quail","Massachusetts.20G.S.677H.Mockingbird"
"1","2020-04-27",344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2","2020-05-11",105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"3","2020-05-25",42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4","2020-06-08",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5","2020-06-22",6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6","2020-07-06",21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7","2020-07-20",21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"8","2020-08-03",21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9","2020-08-17",27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10","2020-08-31",36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"11","2020-09-14",133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"12","2020-09-28",55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"13","2020-10-12",77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0
"14","2020-10-26",109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
"15","2020-11-09",132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,0
"16","2020-11-23",177,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,1,0,6,8,0
"17","2020-12-07",187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,12,4,0
"18","2020-12-21",1124,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,0,13,15,0,4,0,0,23,58,0
"19","2021-01-11",459,16,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,7,3,0,21,5,0,1,0,0,9,23,0
"20","2021-01-25",587,55,3,0,0,0,0,0,0,0,0,0,0,1,2,0,0,4,2,6,0,17,10,0,4,0,1,5,27,1
"21","2021-02-08",1037,127,3,0,0,0,0,0,0,0,0,0,0,0,7,0,0,29,1,35,0,37,41,0,11,0,0,4,38,1
"22","2021-02-22",1160,301,2,10,0,0,0,0,0,0,0,0,0,3,20,0,0,34,0,79,0,52,38,0,3,1,0,2,27,0
"23","2021-03-08",1736,736,1,89,0,0,0,0,0,0,0,0,0,19,151,0,0,21,0,70,0,54,46,0,7,0,0,0,17,0
"24","2021-03-22",2270,1185,5,162,0,2,0,0,0,0,0,0,0,26,310,0,0,19,0,57,0,38,23,0,13,0,0,0,3,0
"25","2021-04-05",3123,1658,5,348,11,1,2,0,0,0,0,0,10,30,576,1,1,19,0,42,0,26,15,0,27,0,0,0,2,0
"26","2021-04-19",3687,1998,0,615,17,9,19,0,0,0,0,0,6,19,631,8,4,9,0,29,0,1,8,0,26,0,0,0,0,0
"27","2021-05-03",2541,1364,3,489,15,36,15,0,0,0,0,0,1,20,384,4,7,0,0,22,0,0,3,0,1,0,0,0,0,0
"28","2021-05-17",1158,616,10,215,3,81,5,0,0,0,0,0,0,2,124,6,15,0,0,3,0,0,2,0,0,0,0,0,0,0
"29","2021-05-31",304,127,0,55,2,31,6,0,0,0,0,0,0,1,45,0,21,1,0,0,0,0,0,0,0,0,0,0,0,0
"30","2021-06-14",162,32,0,23,12,29,23,0,0,0,0,0,0,0,12,1,14,0,0,0,0,0,0,0,0,0,0,0,1,0
"31","2021-06-28",361,18,1,22,39,46,200,0,0,0,0,0,0,0,6,0,15,0,0,0,0,0,0,0,0,0,0,0,1,0
"32","2021-07-12",1837,9,0,23,96,174,1505,0,0,0,0,0,0,0,3,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0
"33","2021-07-26",3619,7,0,38,165,343,3012,0,0,0,0,0,0,0,0,4,24,0,0,0,0,0,0,0,0,0,0,0,0,0
"34","2021-08-09",4865,2,0,6,250,445,4123,0,0,0,0,0,0,0,0,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0
"35","2021-08-23",6396,0,0,7,180,527,5663,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0
"36","2021-09-06",7023,0,0,2,156,545,6312,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"37","2021-09-20",6347,0,0,0,109,425,5803,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"38","2021-10-04",6044,0,0,0,67,261,5708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"39","2021-10-18",5253,0,0,0,40,219,4981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"40","2021-11-01",7135,0,0,0,47,307,6764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"41","2021-11-15",7700,0,0,0,30,285,7362,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"42","2021-11-29",13886,0,0,0,45,387,13305,143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"43","2021-12-13",8011,0,0,0,18,117,4109,3756,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"44","2021-12-27",15061,0,0,0,4,15,843,14190,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"45","2022-01-10",10731,0,0,0,1,3,100,10574,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"46","2022-01-24",8533,0,0,0,0,0,26,8362,141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"47","2022-02-07",6226,0,0,0,0,0,4,5709,510,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48","2022-02-21",3393,0,0,0,0,0,2,2556,831,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"49","2022-03-07",2929,0,0,0,0,0,3,1383,1512,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"50","2022-03-21",4367,0,0,0,0,0,0,808,3348,0,0,199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"51","2022-04-04",5072,0,0,0,0,0,1,345,3781,1,1,916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"52","2022-04-18",3824,0,0,0,0,0,0,91,2467,6,3,1243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"53","2022-05-02",1745,0,0,0,0,0,0,5,893,5,4,836,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
