"","Michigan.week","Michigan.total_sequences","Michigan.20I..Alpha..V1.","Michigan.20H..Beta..V2.","Michigan.20J..Gamma..V3.","Michigan.21A..Delta.","Michigan.21I..Delta.","Michigan.21J..Delta.","Michigan.21K..Omicron.","Michigan.21L..Omicron.","Michigan.22A..Omicron.","Michigan.22B..Omicron.","Michigan.22C..Omicron.","Michigan.21B..Kappa.","Michigan.21D..Eta.","Michigan.21F..Iota.","Michigan.21G..Lambda.","Michigan.21H..Mu.","Michigan.20B.S.732A","Michigan.20A.S.126A","Michigan.20E..EU1.","Michigan.21C..Epsilon.","Michigan.S.677H.Robin1","Michigan.S.677P.Pelican","Michigan.20A.EU2","Michigan.20A.S.98F","Michigan.20G.S.677H.Robin2","Michigan.20G.S.677H.Yellowhammer","Michigan.20G.S.677H.Bluebird","Michigan.20G.S.677H.Quail","Michigan.20G.S.677H.Mockingbird"
"1","2020-04-27",271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2","2020-05-11",128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3","2020-05-25",40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4","2020-06-08",20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5","2020-06-22",26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6","2020-07-06",54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7","2020-07-20",47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8","2020-08-03",66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9","2020-08-17",70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10","2020-08-31",115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11","2020-09-14",143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12","2020-09-28",134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13","2020-10-12",378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
"14","2020-10-26",680,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,19,0,0,0,0,0,0,0,0
"15","2020-11-09",899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,35,1,1,0,0,0,0,2,0
"16","2020-11-23",436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,3,0
"17","2020-12-07",125,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
"18","2020-12-21",343,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,26,1,1,0,2,0,0,0,0
"19","2021-01-11",434,26,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2,0,0,24,20,4,0,0,6,1,0,4,5
"20","2021-01-25",745,74,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,14,0,0,24,24,3,1,0,4,0,0,0,118
"21","2021-02-08",1203,397,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,17,0,0,59,39,1,1,1,13,2,1,0,206
"22","2021-02-22",1122,458,2,0,0,0,0,0,0,0,0,0,0,1,9,0,0,44,0,0,58,51,3,0,0,7,2,2,0,62
"23","2021-03-08",2622,1556,10,4,0,0,0,0,0,0,0,0,0,1,35,2,0,118,0,0,151,51,0,0,0,7,0,2,0,6
"24","2021-03-22",5723,4112,30,94,0,0,0,0,0,0,0,0,1,1,192,4,0,115,0,1,203,53,3,0,1,5,0,0,1,26
"25","2021-04-05",5856,4644,36,122,1,0,2,0,0,0,0,0,3,1,263,6,2,59,0,0,115,7,3,0,0,2,1,0,0,9
"26","2021-04-19",2809,2316,17,69,8,0,3,0,0,0,0,0,0,0,141,6,0,16,1,0,26,4,0,0,0,0,0,0,0,1
"27","2021-05-03",1240,1005,6,52,1,2,2,0,0,0,0,0,0,0,74,4,0,9,0,0,11,1,0,0,0,0,0,0,0,0
"28","2021-05-17",302,219,4,16,17,0,3,0,0,0,0,0,0,0,15,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"29","2021-05-31",76,56,1,4,2,0,3,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"30","2021-06-14",79,41,0,4,4,7,17,0,0,0,0,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"31","2021-06-28",160,24,0,1,14,20,94,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"32","2021-07-12",474,7,1,3,42,55,359,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
"33","2021-07-26",1049,4,0,4,55,152,829,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
