"","Minnesota.week","Minnesota.total_sequences","Minnesota.20I..Alpha..V1.","Minnesota.20H..Beta..V2.","Minnesota.20J..Gamma..V3.","Minnesota.21A..Delta.","Minnesota.21I..Delta.","Minnesota.21J..Delta.","Minnesota.21K..Omicron.","Minnesota.21L..Omicron.","Minnesota.22A..Omicron.","Minnesota.22B..Omicron.","Minnesota.22C..Omicron.","Minnesota.21B..Kappa.","Minnesota.21D..Eta.","Minnesota.21F..Iota.","Minnesota.21G..Lambda.","Minnesota.21H..Mu.","Minnesota.20B.S.732A","Minnesota.20A.S.126A","Minnesota.21C..Epsilon.","Minnesota.20A.S.439K","Minnesota.S.677H.Robin1","Minnesota.S.677P.Pelican","Minnesota.20A.S.98F","Minnesota.20G.S.677H.Robin2","Minnesota.20G.S.677H.Yellowhammer","Minnesota.20G.S.677H.Bluebird","Minnesota.20G.S.677H.Quail","Minnesota.20G.S.677H.Mockingbird"
"1","2020-04-27",150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2","2020-05-11",110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3","2020-05-25",70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4","2020-06-08",25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5","2020-06-22",34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6","2020-07-06",35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7","2020-07-20",9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8","2020-08-03",45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9","2020-08-17",50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"10","2020-08-31",11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
