"","Mississippi.week","Mississippi.total_sequences","Mississippi.20I..Alpha..V1.","Mississippi.20H..Beta..V2.","Mississippi.20J..Gamma..V3.","Mississippi.21A..Delta.","Mississippi.21I..Delta.","Mississippi.21J..Delta.","Mississippi.21K..Omicron.","Mississippi.21L..Omicron.","Mississippi.22B..Omicron.","Mississippi.22C..Omicron.","Mississippi.21D..Eta.","Mississippi.21F..Iota.","Mississippi.21G..Lambda.","Mississippi.21H..Mu.","Mississippi.20B.S.732A","Mississippi.21C..Epsilon.","Mississippi.S.677H.Robin1","Mississippi.S.677P.Pelican","Mississippi.20G.S.677H.Robin2","Mississippi.20G.S.677H.Yellowhammer","Mississippi.20G.S.677H.Mockingbird"
"1","2020-04-27",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2","2020-05-25",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3","2020-07-20",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4","2020-08-03",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5","2020-08-17",10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6","2020-08-31",11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7","2020-09-14",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8","2020-09-28",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9","2020-10-12",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10","2020-10-26",11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11","2020-11-09",10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"12","2020-11-23",14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13","2020-12-07",10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"14","2020-12-21",52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,0,0
"15","2021-01-11",41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,1
"16","2021-01-25",69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,7,2,1,1,0
"17","2021-02-08",26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,4,0,0
"18","2021-02-22",124,13,0,0,0,0,0,0,0,0,0,3,0,0,0,8,14,1,1,18,0,0
"19","2021-03-08",115,51,0,0,0,0,0,0,0,0,0,1,2,0,0,7,7,0,1,12,1,0
"20","2021-03-22",85,53,1,3,0,0,0,0,0,0,0,3,3,0,0,2,8,0,0,4,0,0
"21","2021-04-05",125,81,0,6,0,0,0,0,0,0,0,10,10,0,1,3,3,1,0,1,0,0
"22","2021-04-19",57,48,2,0,0,0,0,0,0,0,0,1,2,0,0,0,1,0,0,0,0,0
