"","Nebraska.week","Nebraska.total_sequences","Nebraska.20I..Alpha..V1.","Nebraska.20H..Beta..V2.","Nebraska.20J..Gamma..V3.","Nebraska.21A..Delta.","Nebraska.21I..Delta.","Nebraska.21J..Delta.","Nebraska.21K..Omicron.","Nebraska.21L..Omicron.","Nebraska.22A..Omicron.","Nebraska.22B..Omicron.","Nebraska.22C..Omicron.","Nebraska.21F..Iota.","Nebraska.21G..Lambda.","Nebraska.21H..Mu.","Nebraska.20B.S.732A","Nebraska.21C..Epsilon.","Nebraska.S.677H.Robin1","Nebraska.S.677P.Pelican","Nebraska.20A.EU2","Nebraska.20G.S.677H.Robin2","Nebraska.20G.S.677H.Heron","Nebraska.20G.S.677H.Quail","Nebraska.20G.S.677H.Mockingbird"
"1","2020-04-27",266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2","2020-05-11",75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3","2020-05-25",31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4","2020-06-08",12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5","2020-06-22",16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6","2020-07-06",21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7","2020-07-20",15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8","2020-08-03",15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9","2020-08-17",15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10","2020-08-31",20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11","2020-09-14",22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12","2020-09-28",28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13","2020-10-12",43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"14","2020-10-26",45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15","2020-11-09",285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
"16","2020-11-23",37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17","2020-12-07",143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
"18","2020-12-21",118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,3,0,3,1,1,0
"19","2021-01-11",70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,1,0,0,0,0
"20","2021-01-25",122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,5,1,0,0,0,0,0
"21","2021-02-08",209,11,0,0,0,0,0,0,0,0,0,0,0,0,0,9,17,12,0,0,0,0,0,2
"22","2021-02-22",109,8,0,0,0,0,0,0,0,0,0,0,0,0,0,9,16,6,0,0,0,0,0,0
"23","2021-03-08",136,42,0,2,0,0,0,0,0,0,0,0,2,0,0,8,11,2,0,0,0,0,0,0
"24","2021-03-22",209,142,1,4,0,0,0,0,0,0,0,0,0,0,0,10,18,0,0,0,0,0,0,0
"25","2021-04-05",355,290,3,9,0,0,0,0,0,0,0,0,2,0,0,5,12,1,0,0,0,0,0,0
"26","2021-04-19",377,340,7,7,0,0,0,0,0,0,0,0,0,0,0,3,6,1,0,0,0,0,0,0
"27","2021-05-03",299,262,4,4,7,1,1,0,0,0,0,0,1,0,0,1,2,0,0,0,0,0,0,0
"28","2021-05-17",123,99,5,12,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
"29","2021-05-31",63,27,0,11,2,2,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"30","2021-06-14",116,15,0,21,1,1,74,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"31","2021-06-28",165,6,0,6,7,3,140,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"32","2021-07-12",394,2,0,2,12,6,369,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"33","2021-07-26",382,3,1,0,11,21,345,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"34","2021-08-09",743,1,0,0,10,42,690,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"35","2021-08-23",1336,0,0,0,16,55,1264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"36","2021-09-06",1053,0,0,0,7,38,1007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"37","2021-09-20",1044,0,0,0,13,36,994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"38","2021-10-04",883,0,0,0,9,20,853,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"39","2021-10-18",972,0,0,0,2,37,929,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"40","2021-11-01",1244,0,0,0,1,37,1201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"41","2021-11-15",861,0,0,0,0,20,837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"42","2021-11-29",995,0,0,0,1,17,968,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"43","2021-12-13",620,0,0,0,0,5,469,141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"44","2021-12-27",1703,0,0,0,0,1,271,1423,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"45","2022-01-10",2417,0,0,0,0,0,42,2369,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"46","2022-01-24",1088,0,0,0,0,0,9,1079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
