"","Nevada.week","Nevada.total_sequences","Nevada.20I..Alpha..V1.","Nevada.20H..Beta..V2.","Nevada.20J..Gamma..V3.","Nevada.21A..Delta.","Nevada.21I..Delta.","Nevada.21J..Delta.","Nevada.21K..Omicron.","Nevada.21L..Omicron.","Nevada.22A..Omicron.","Nevada.22B..Omicron.","Nevada.22C..Omicron.","Nevada.21F..Iota.","Nevada.21G..Lambda.","Nevada.21H..Mu.","Nevada.20B.S.732A","Nevada.21C..Epsilon.","Nevada.S.677H.Robin1","Nevada.S.677P.Pelican","Nevada.20G.S.677H.Robin2","Nevada.20G.S.677H.Yellowhammer","Nevada.20G.S.677R.Roadrunner","Nevada.20G.S.677H.Heron","Nevada.20G.S.677H.Quail","Nevada.20G.S.677H.Mockingbird"
"1","2020-04-27",20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2","2020-05-11",32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3","2020-05-25",15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4","2020-07-20",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5","2020-08-03",13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6","2020-08-17",65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7","2020-08-31",17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8","2020-09-14",55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9","2020-09-28",32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"10","2020-10-12",112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11","2020-10-26",84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
"12","2020-11-09",97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0
