"","New.Hampshire.week","New.Hampshire.total_sequences","New.Hampshire.20I..Alpha..V1.","New.Hampshire.20H..Beta..V2.","New.Hampshire.20J..Gamma..V3.","New.Hampshire.21A..Delta.","New.Hampshire.21I..Delta.","New.Hampshire.21J..Delta.","New.Hampshire.21K..Omicron.","New.Hampshire.21L..Omicron.","New.Hampshire.22A..Omicron.","New.Hampshire.22C..Omicron.","New.Hampshire.21D..Eta.","New.Hampshire.21F..Iota.","New.Hampshire.21G..Lambda.","New.Hampshire.21H..Mu.","New.Hampshire.20B.S.732A","New.Hampshire.21C..Epsilon.","New.Hampshire.S.677H.Robin1","New.Hampshire.S.677P.Pelican","New.Hampshire.20G.S.677H.Robin2","New.Hampshire.20G.S.677H.Bluebird","New.Hampshire.20G.S.677H.Quail"
"1","2020-04-27",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2","2020-05-11",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3","2020-05-25",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4","2020-06-22",7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5","2020-07-20",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6","2020-10-26",8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7","2020-11-09",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8","2020-11-23",6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9","2020-12-07",19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10","2020-12-21",62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,1
"11","2021-01-11",38,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,2,4
"12","2021-01-25",68,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,8,0,0,2,3
"13","2021-02-08",138,7,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,2,3,4,0,0
"14","2021-02-22",163,24,0,0,0,0,0,0,0,0,0,0,2,0,0,1,5,9,2,2,0,3
"15","2021-03-08",263,90,0,2,0,0,0,0,0,0,0,0,15,0,0,6,8,4,1,0,0,3
"16","2021-03-22",211,81,0,17,0,0,0,0,0,0,0,1,31,0,0,1,21,1,0,0,0,0
"17","2021-04-05",441,169,2,28,2,0,0,0,0,0,0,0,95,0,0,1,36,1,2,0,0,1
"18","2021-04-19",369,185,0,29,5,1,0,0,0,0,0,0,80,0,0,1,6,7,0,0,0,0
"19","2021-05-03",299,172,0,23,3,1,0,0,0,0,0,1,50,0,3,0,0,0,1,0,0,1
"20","2021-05-17",147,80,0,17,2,0,1,0,0,0,0,0,22,0,1,0,2,1,0,0,0,0
"21","2021-05-31",60,28,0,20,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0
"22","2021-06-14",28,8,0,5,4,2,2,0,0,0,0,0,2,0,3,0,0,0,0,0,0,0
"23","2021-06-28",32,1,1,1,1,3,18,0,0,0,0,0,1,1,4,0,0,0,0,0,0,0
"24","2021-07-12",72,2,0,0,10,3,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"25","2021-07-26",143,0,0,0,5,15,121,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
"26","2021-08-09",263,0,0,0,20,29,212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"27","2021-08-23",323,0,0,0,15,32,276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"28","2021-09-06",383,0,0,0,6,32,345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29","2021-09-20",481,0,0,0,7,33,441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"30","2021-10-04",572,0,0,0,8,38,525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"31","2021-10-18",549,0,0,0,4,15,530,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"32","2021-11-01",675,0,0,0,4,17,653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"33","2021-11-15",687,0,0,0,8,19,658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"34","2021-11-29",728,0,0,0,0,19,705,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"35","2021-12-13",344,0,0,0,1,3,257,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"36","2021-12-27",597,0,0,0,0,1,58,537,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"37","2022-01-10",673,0,0,0,0,0,16,651,6,0,0,0,0,0,0,0,0,0,0,0,0,0
"38","2022-01-24",638,0,0,0,0,0,2,633,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"39","2022-02-07",385,0,0,0,0,0,2,371,11,0,0,0,0,0,0,0,0,0,0,0,0,0
"40","2022-02-21",170,0,0,0,0,0,0,153,15,0,2,0,0,0,0,0,0,0,0,0,0,0
"41","2022-03-07",99,0,0,0,0,0,0,55,43,0,1,0,0,0,0,0,0,0,0,0,0,0
"42","2022-03-21",133,0,0,0,0,0,0,39,90,0,4,0,0,0,0,0,0,0,0,0,0,0
"43","2022-04-04",327,0,0,0,0,0,0,31,185,2,107,0,0,0,0,0,0,0,0,0,0,0
"44","2022-04-18",174,0,0,0,0,0,0,5,97,2,70,0,0,0,0,0,0,0,0,0,0,0
"45","2022-05-02",18,0,0,0,0,0,0,0,8,1,9,0,0,0,0,0,0,0,0,0,0,0
