"","New.Jersey.week","New.Jersey.total_sequences","New.Jersey.20I..Alpha..V1.","New.Jersey.20H..Beta..V2.","New.Jersey.20J..Gamma..V3.","New.Jersey.21A..Delta.","New.Jersey.21I..Delta.","New.Jersey.21J..Delta.","New.Jersey.21K..Omicron.","New.Jersey.21L..Omicron.","New.Jersey.22A..Omicron.","New.Jersey.22B..Omicron.","New.Jersey.22C..Omicron.","New.Jersey.21B..Kappa.","New.Jersey.21D..Eta.","New.Jersey.21F..Iota.","New.Jersey.21G..Lambda.","New.Jersey.21H..Mu.","New.Jersey.20B.S.732A","New.Jersey.20A.S.126A","New.Jersey.20E..EU1.","New.Jersey.21C..Epsilon.","New.Jersey.20A.S.439K","New.Jersey.S.677H.Robin1","New.Jersey.S.677P.Pelican","New.Jersey.20A.EU2","New.Jersey.20G.S.677H.Robin2","New.Jersey.20G.S.677H.Yellowhammer","New.Jersey.20G.S.677R.Roadrunner","New.Jersey.20G.S.677H.Bluebird","New.Jersey.20G.S.677H.Quail","New.Jersey.20G.S.677H.Mockingbird"
"1","2020-04-27",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2","2020-05-11",20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3","2020-05-25",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4","2020-06-08",65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5","2020-06-22",62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6","2020-07-06",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7","2020-07-20",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8","2020-08-03",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9","2020-08-17",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10","2020-08-31",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11","2020-09-14",257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12","2020-09-28",8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13","2020-10-12",8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"14","2020-10-26",19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15","2020-11-09",47,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"16","2020-11-23",13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"17","2020-12-07",18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
"18","2020-12-21",220,10,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,1,1,2,4,0,0,0,0,0,3,1,0
"19","2021-01-11",264,21,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,4,0,0,3,0,5,3,3,1,0,2,7,0,0
"20","2021-01-25",365,64,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,4,0,0,9,0,8,5,0,1,0,0,3,0,0
"21","2021-02-08",398,123,0,2,0,0,1,0,0,0,0,0,0,0,23,0,0,14,0,1,19,0,7,4,0,1,1,1,1,0,0
"22","2021-02-22",717,265,0,6,0,0,0,0,0,0,0,0,0,2,122,2,0,28,0,2,20,0,5,2,1,11,1,0,4,0,1
"23","2021-03-08",2043,809,1,13,0,0,0,0,0,0,0,0,5,2,637,6,0,37,0,0,41,0,9,2,0,4,9,0,1,0,0
"24","2021-03-22",3742,1587,6,75,2,0,0,0,0,0,0,0,2,7,1273,5,7,53,0,0,44,0,2,2,0,4,0,0,0,0,0
"25","2021-04-05",2860,1381,6,88,3,5,2,0,0,0,0,0,8,10,932,3,9,26,1,0,20,0,3,0,0,1,0,0,0,0,0
"26","2021-04-19",1521,831,2,64,8,12,10,0,0,0,0,0,1,2,405,12,7,5,0,0,10,0,1,0,0,1,0,0,0,0,0
"27","2021-05-03",776,418,2,50,7,3,28,0,0,0,0,0,1,0,191,2,14,1,0,0,3,0,0,0,0,0,0,0,0,0,0
