"","New.Mexico.week","New.Mexico.total_sequences","New.Mexico.20I..Alpha..V1.","New.Mexico.20H..Beta..V2.","New.Mexico.20J..Gamma..V3.","New.Mexico.21A..Delta.","New.Mexico.21I..Delta.","New.Mexico.21J..Delta.","New.Mexico.21K..Omicron.","New.Mexico.21L..Omicron.","New.Mexico.22C..Omicron.","New.Mexico.21D..Eta.","New.Mexico.21F..Iota.","New.Mexico.21G..Lambda.","New.Mexico.21H..Mu.","New.Mexico.20B.S.732A","New.Mexico.21C..Epsilon.","New.Mexico.20A.S.439K","New.Mexico.S.677H.Robin1","New.Mexico.S.677P.Pelican","New.Mexico.20A.EU2","New.Mexico.20A.S.98F","New.Mexico.20G.S.677H.Robin2","New.Mexico.20G.S.677H.Yellowhammer","New.Mexico.20G.S.677H.Quail","New.Mexico.20G.S.677H.Mockingbird"
"1","2020-04-27",174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2","2020-05-11",105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3","2020-05-25",16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4","2020-06-08",80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5","2020-06-22",62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6","2020-07-06",31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7","2020-07-20",127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8","2020-08-03",92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9","2020-08-17",194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10","2020-08-31",121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11","2020-09-14",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12","2020-09-28",7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"13","2020-10-12",57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"14","2020-10-26",290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,17,0
"15","2020-11-09",149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,4,0
"16","2020-11-23",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17","2020-12-07",86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6,1,0,0,0,2,0
"18","2020-12-21",418,4,0,0,0,0,0,0,0,0,0,0,0,0,1,25,1,9,56,0,1,0,0,3,2
"19","2021-01-11",514,0,0,0,0,0,0,0,0,0,0,0,0,0,4,32,0,9,68,0,0,5,1,14,1
"20","2021-01-25",349,1,0,0,0,0,0,0,0,0,0,0,0,0,5,41,0,2,49,0,0,4,0,11,1
"21","2021-02-08",264,6,0,0,0,0,0,0,0,0,0,0,0,0,13,63,0,0,25,0,0,18,0,6,0
"22","2021-02-22",648,211,0,0,0,0,0,0,0,0,0,2,0,0,21,122,0,2,53,0,0,8,0,3,1
"23","2021-03-08",490,114,0,0,0,0,0,0,0,0,3,0,0,0,23,127,0,3,21,0,0,2,0,2,1
"24","2021-03-22",497,222,0,7,0,0,0,0,0,0,1,6,0,0,48,87,0,0,12,0,0,0,0,1,0
"25","2021-04-05",374,212,4,9,0,0,0,0,0,0,0,7,0,0,37,32,0,1,2,0,0,0,0,0,0
