"","New.York.week","New.York.total_sequences","New.York.20I..Alpha..V1.","New.York.20H..Beta..V2.","New.York.20J..Gamma..V3.","New.York.21A..Delta.","New.York.21I..Delta.","New.York.21J..Delta.","New.York.21K..Omicron.","New.York.21L..Omicron.","New.York.22A..Omicron.","New.York.22B..Omicron.","New.York.22C..Omicron.","New.York.21B..Kappa.","New.York.21D..Eta.","New.York.21F..Iota.","New.York.21G..Lambda.","New.York.21H..Mu.","New.York.20B.S.732A","New.York.20A.S.126A","New.York.20E..EU1.","New.York.21C..Epsilon.","New.York.20A.S.439K","New.York.S.677H.Robin1","New.York.S.677P.Pelican","New.York.20A.EU2","New.York.20A.S.98F","New.York.20G.S.677H.Robin2","New.York.20G.S.677H.Yellowhammer","New.York.20G.S.677R.Roadrunner","New.York.20G.S.677H.Heron","New.York.20G.S.677H.Bluebird","New.York.20G.S.677H.Quail","New.York.20G.S.677H.Mockingbird"
"1","2020-04-27",229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2","2020-05-11",118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3","2020-05-25",37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4","2020-06-08",30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5","2020-06-22",73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6","2020-07-06",66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7","2020-07-20",38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8","2020-08-03",96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9","2020-08-17",179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"10","2020-08-31",251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
"11","2020-09-14",190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0
"12","2020-09-28",372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
"13","2020-10-12",502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,1,0,1,0,0,0,0,0,0,0,0
