"","North.Carolina.week","North.Carolina.total_sequences","North.Carolina.20I..Alpha..V1.","North.Carolina.20H..Beta..V2.","North.Carolina.20J..Gamma..V3.","North.Carolina.21A..Delta.","North.Carolina.21I..Delta.","North.Carolina.21J..Delta.","North.Carolina.21K..Omicron.","North.Carolina.21L..Omicron.","North.Carolina.22A..Omicron.","North.Carolina.22B..Omicron.","North.Carolina.22C..Omicron.","North.Carolina.21B..Kappa.","North.Carolina.21D..Eta.","North.Carolina.21F..Iota.","North.Carolina.21G..Lambda.","North.Carolina.21H..Mu.","North.Carolina.20B.S.732A","North.Carolina.20E..EU1.","North.Carolina.21C..Epsilon.","North.Carolina.20A.S.439K","North.Carolina.S.677H.Robin1","North.Carolina.S.677P.Pelican","North.Carolina.20G.S.677H.Robin2","North.Carolina.20G.S.677H.Yellowhammer","North.Carolina.20G.S.677H.Heron","North.Carolina.20G.S.677H.Bluebird","North.Carolina.20G.S.677H.Quail"
"1","2020-04-27",29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2","2020-05-11",11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3","2020-05-25",16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4","2020-06-08",27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5","2020-06-22",18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6","2020-07-06",36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7","2020-07-20",46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8","2020-08-03",20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9","2020-08-17",110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"10","2020-08-31",13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11","2020-09-14",18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"12","2020-09-28",29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13","2020-10-12",44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"14","2020-10-26",50,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15","2020-11-09",108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"16","2020-11-23",62,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17","2020-12-07",97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
"18","2020-12-21",273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,10,5,2,1,0,0,1
"19","2021-01-11",539,5,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,2,11,0,20,6,8,9,1,0,2
"20","2021-01-25",726,11,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6,2,27,0,29,9,7,12,3,1,0
"21","2021-02-08",1054,32,15,0,0,0,0,0,0,0,0,0,0,0,4,3,0,12,1,40,0,42,10,9,18,1,1,3
"22","2021-02-22",878,88,31,0,0,0,0,0,0,0,0,0,0,1,15,1,0,14,0,75,1,24,16,20,6,6,0,0
"23","2021-03-08",1046,271,51,2,0,0,0,0,0,0,0,0,0,4,94,0,0,23,0,153,0,32,2,15,3,4,0,0
"24","2021-03-22",1010,445,45,9,0,0,0,0,0,0,0,0,0,5,238,0,0,23,0,54,0,16,1,5,2,0,0,0
"25","2021-04-05",1343,749,30,18,3,2,1,0,0,0,0,0,2,2,352,1,0,22,0,24,0,4,0,1,0,0,0,0
"26","2021-04-19",1597,975,19,50,2,0,4,0,0,0,0,0,1,2,430,1,2,6,0,9,0,1,0,0,0,0,0,0
"27","2021-05-03",1240,851,14,46,0,6,4,0,0,0,0,0,0,0,258,0,1,11,0,2,0,0,0,0,0,0,0,0
"28","2021-05-17",868,577,8,58,1,2,2,0,0,0,0,0,0,1,191,0,4,0,0,0,0,0,0,0,0,0,0,0
"29","2021-05-31",535,330,1,49,1,14,26,0,0,0,0,0,0,0,83,0,4,0,0,0,0,0,0,0,0,0,0,0
"30","2021-06-14",585,211,1,35,25,57,151,0,0,0,0,0,0,1,62,1,15,0,0,0,0,0,0,1,0,0,0,0
"31","2021-06-28",1028,150,2,32,103,132,524,0,0,0,0,0,0,0,38,2,16,0,0,0,0,0,0,0,0,0,0,0
"32","2021-07-12",2350,63,0,13,136,335,1748,0,0,0,0,0,0,0,19,1,16,0,0,0,0,0,0,0,0,0,0,0
"33","2021-07-26",5778,42,0,14,277,829,4566,0,0,0,0,0,0,0,6,2,12,0,0,0,0,0,0,0,0,0,0,0
"34","2021-08-09",3407,8,0,3,113,474,2798,0,0,0,0,0,0,0,3,0,2,1,0,0,0,0,0,0,0,0,0,0
"35","2021-08-23",3760,2,0,0,94,446,3197,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
"36","2021-09-06",4509,0,0,1,78,449,3971,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0
"37","2021-09-20",3084,2,0,0,23,260,2791,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"38","2021-10-04",2903,0,0,0,20,194,2683,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"39","2021-10-18",2495,0,0,0,14,155,2319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"40","2021-11-01",2343,0,0,0,8,145,2179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"41","2021-11-15",1780,0,0,0,1,97,1670,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"42","2021-11-29",2641,0,0,0,4,101,2498,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"43","2021-12-13",2911,0,0,0,1,59,1751,1096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"44","2021-12-27",4163,0,0,0,0,23,483,3650,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"45","2022-01-10",4297,0,0,0,0,0,72,4212,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"46","2022-01-24",5565,0,0,0,0,0,23,5491,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"47","2022-02-07",5038,0,0,0,0,0,3,4993,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48","2022-02-21",1994,0,0,0,0,0,0,1926,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"49","2022-03-07",760,0,0,0,0,0,4,591,158,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"50","2022-03-21",736,0,0,0,0,0,0,220,424,0,0,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"51","2022-04-04",1594,0,0,0,0,0,3,132,888,1,2,556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"52","2022-04-18",2708,0,0,0,0,0,0,55,1402,1,3,1221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"53","2022-05-02",961,0,0,0,0,0,0,4,401,0,6,544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
