"","Northern.Mariana.Islands.week","Northern.Mariana.Islands.total_sequences","Northern.Mariana.Islands.20I..Alpha..V1.","Northern.Mariana.Islands.21A..Delta.","Northern.Mariana.Islands.21I..Delta.","Northern.Mariana.Islands.21J..Delta.","Northern.Mariana.Islands.21K..Omicron.","Northern.Mariana.Islands.21L..Omicron.","Northern.Mariana.Islands.21C..Epsilon."
"1","2020-06-22",2,0,0,0,0,0,0,0
"2","2020-07-06",12,0,0,0,0,0,0,0
"3","2020-07-20",4,0,0,0,0,0,0,0
"4","2020-08-03",6,0,0,0,0,0,0,0
"5","2020-08-17",4,0,0,0,0,0,0,0
"6","2020-08-31",4,0,0,0,0,0,0,0
"7","2020-09-14",4,0,0,0,0,0,0,0
"8","2020-09-28",2,0,0,0,0,0,0,0
"9","2020-10-12",17,0,0,0,0,0,0,0
"10","2020-10-26",14,0,0,0,0,0,0,0
"11","2020-11-09",8,0,0,0,0,0,0,0
"12","2020-11-23",4,0,0,0,0,0,0,0
"13","2020-12-07",4,0,0,0,0,0,0,0
"14","2020-12-21",8,0,0,0,0,0,0,0
"15","2021-01-11",4,0,0,0,0,0,0,2
"16","2021-02-08",4,0,0,0,0,0,0,0
"17","2021-03-08",19,0,0,0,0,0,0,0
"18","2021-03-22",1,1,0,0,0,0,0,0
"19","2021-04-19",1,1,0,0,0,0,0,0
"20","2021-06-28",2,0,0,0,2,0,0,0
"21","2021-07-12",4,1,0,2,1,0,0,0
"22","2021-07-26",14,0,0,0,14,0,0,0
"23","2021-08-09",8,0,0,0,8,0,0,0
"24","2021-08-23",14,0,1,2,11,0,0,0
"25","2021-09-06",10,0,0,1,9,0,0,0
"26","2021-09-20",4,0,0,1,3,0,0,0
"27","2021-10-04",5,0,0,0,5,0,0,0
"28","2021-10-18",17,0,0,0,17,0,0,0
"29","2021-11-01",53,0,0,1,52,0,0,0
"30","2021-11-15",337,0,0,1,336,0,0,0
"31","2021-11-29",301,0,0,0,301,0,0,0
"32","2021-12-13",407,0,0,0,400,7,0,0
"33","2021-12-27",173,0,0,0,135,37,1,0
"34","2022-01-10",159,0,0,0,45,84,30,0
"35","2022-01-24",215,0,0,0,11,82,122,0
"36","2022-02-07",88,0,0,0,0,6,82,0
"37","2022-02-21",531,0,0,0,0,46,485,0
"38","2022-03-07",379,0,0,0,0,19,360,0
"39","2022-03-21",83,0,0,0,0,6,77,0
"40","2022-04-04",17,0,0,0,0,1,16,0
