"","Ohio.week","Ohio.total_sequences","Ohio.20I..Alpha..V1.","Ohio.20H..Beta..V2.","Ohio.20J..Gamma..V3.","Ohio.21A..Delta.","Ohio.21I..Delta.","Ohio.21J..Delta.","Ohio.21K..Omicron.","Ohio.21L..Omicron.","Ohio.22A..Omicron.","Ohio.22C..Omicron.","Ohio.21B..Kappa.","Ohio.21D..Eta.","Ohio.21F..Iota.","Ohio.21G..Lambda.","Ohio.21H..Mu.","Ohio.20B.S.732A","Ohio.20E..EU1.","Ohio.21C..Epsilon.","Ohio.20A.S.439K","Ohio.S.677H.Robin1","Ohio.S.677P.Pelican","Ohio.20G.S.677H.Robin2","Ohio.20G.S.677H.Yellowhammer","Ohio.20G.S.677H.Quail","Ohio.20G.S.677H.Mockingbird"
"1","2020-04-27",45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2","2020-05-11",35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3","2020-05-25",24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4","2020-06-08",13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5","2020-06-22",31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6","2020-07-06",61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7","2020-07-20",46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8","2020-08-03",5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9","2020-08-17",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10","2020-08-31",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11","2020-09-14",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12","2020-10-12",5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13","2020-10-26",40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"14","2020-11-09",47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
"15","2020-11-23",48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
"16","2020-12-07",43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,0,0,0,0,0
"17","2020-12-21",333,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,10,0,44,2,4,0,0,1
"18","2021-01-11",536,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,8,0,9,0,50,2,5,0,1,0
"19","2021-01-25",363,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,8,0,43,4,3,0,0,0
"20","2021-02-08",614,19,0,0,0,0,0,0,0,0,0,0,0,1,0,0,48,0,25,1,67,4,5,2,0,0
"21","2021-02-22",517,82,1,1,0,0,0,0,0,0,0,0,1,0,0,0,51,0,100,0,35,9,6,0,0,0
"22","2021-03-08",801,231,11,10,0,0,0,0,0,0,0,0,1,8,0,0,71,0,76,0,24,11,11,2,0,0
"23","2021-03-22",1124,603,17,42,0,0,0,0,0,0,0,1,4,28,0,1,90,0,50,0,14,1,5,0,0,0
"24","2021-04-05",1240,912,14,56,0,0,0,0,0,0,0,1,9,37,3,2,35,0,28,0,5,2,3,0,0,0
"25","2021-04-19",946,725,9,74,6,2,3,0,0,0,0,0,4,41,1,1,14,0,13,0,1,0,1,0,0,0
"26","2021-05-03",828,629,19,85,2,2,4,0,0,0,0,1,5,25,1,5,3,0,3,0,0,0,0,0,0,0
"27","2021-05-17",531,423,3,59,2,0,5,0,0,0,0,0,0,15,1,0,3,0,1,0,0,0,0,0,0,0
"28","2021-05-31",213,149,1,20,1,5,17,0,0,0,0,0,0,10,2,1,0,0,0,0,0,0,0,0,0,0
