"","Oklahoma.week","Oklahoma.total_sequences","Oklahoma.20I..Alpha..V1.","Oklahoma.20H..Beta..V2.","Oklahoma.20J..Gamma..V3.","Oklahoma.21A..Delta.","Oklahoma.21I..Delta.","Oklahoma.21J..Delta.","Oklahoma.21K..Omicron.","Oklahoma.21L..Omicron.","Oklahoma.22B..Omicron.","Oklahoma.22C..Omicron.","Oklahoma.21B..Kappa.","Oklahoma.21D..Eta.","Oklahoma.21F..Iota.","Oklahoma.21G..Lambda.","Oklahoma.21H..Mu.","Oklahoma.20B.S.732A","Oklahoma.21C..Epsilon.","Oklahoma.S.677H.Robin1","Oklahoma.S.677P.Pelican","Oklahoma.20G.S.677H.Robin2","Oklahoma.20G.S.677H.Yellowhammer","Oklahoma.20G.S.677H.Mockingbird"
"1","2020-05-25",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2","2020-07-06",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3","2020-07-20",5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4","2020-08-03",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5","2020-08-17",5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6","2020-08-31",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7","2020-09-14",6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8","2020-09-28",5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9","2020-10-12",6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10","2020-10-26",20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"11","2020-11-09",12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"12","2020-11-23",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13","2020-12-07",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"14","2020-12-21",74,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,11,0,0,0
"15","2021-01-11",57,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,14,1,0,2
"16","2021-01-25",71,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,16,0,0,2
"17","2021-02-08",15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"18","2021-02-22",40,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,3,0,0,2
"19","2021-03-08",55,21,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,3,2,7,0,0,1
"20","2021-03-22",63,42,2,1,0,0,0,0,0,0,0,0,0,2,0,0,3,3,0,3,0,0,0
"21","2021-04-05",85,70,2,0,0,0,1,0,0,0,0,1,0,3,0,0,1,1,0,0,0,0,0
"22","2021-04-19",53,44,1,1,0,0,2,0,0,0,0,0,0,2,1,0,0,1,0,0,0,0,0
"23","2021-05-03",52,44,0,3,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0
"24","2021-05-17",40,25,0,5,0,3,3,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0
"25","2021-05-31",57,13,0,1,1,3,38,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"26","2021-06-14",58,13,0,2,1,5,34,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
"27","2021-06-28",115,3,0,2,1,12,93,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0
"28","2021-07-12",229,3,0,1,5,16,192,0,0,0,0,0,0,0,7,3,0,0,0,0,0,0,0
"29","2021-07-26",332,0,0,0,2,57,268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"30","2021-08-09",260,0,0,0,5,20,234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
