"","Pennsylvania.week","Pennsylvania.total_sequences","Pennsylvania.20I..Alpha..V1.","Pennsylvania.20H..Beta..V2.","Pennsylvania.20J..Gamma..V3.","Pennsylvania.21A..Delta.","Pennsylvania.21I..Delta.","Pennsylvania.21J..Delta.","Pennsylvania.21K..Omicron.","Pennsylvania.21L..Omicron.","Pennsylvania.22A..Omicron.","Pennsylvania.22B..Omicron.","Pennsylvania.22C..Omicron.","Pennsylvania.21B..Kappa.","Pennsylvania.21D..Eta.","Pennsylvania.21F..Iota.","Pennsylvania.21G..Lambda.","Pennsylvania.21H..Mu.","Pennsylvania.20B.S.732A","Pennsylvania.20E..EU1.","Pennsylvania.21C..Epsilon.","Pennsylvania.S.677H.Robin1","Pennsylvania.S.677P.Pelican","Pennsylvania.20A.EU2","Pennsylvania.20G.S.677H.Robin2","Pennsylvania.20G.S.677H.Yellowhammer","Pennsylvania.20G.S.677H.Heron","Pennsylvania.20G.S.677H.Bluebird","Pennsylvania.20G.S.677H.Quail","Pennsylvania.20G.S.677H.Mockingbird"
"1","2020-04-27",43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2","2020-05-11",30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3","2020-05-25",9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4","2020-06-08",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5","2020-06-22",23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6","2020-07-06",35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7","2020-07-20",36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8","2020-08-03",21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9","2020-08-17",18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10","2020-08-31",14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
