"","Puerto.Rico.week","Puerto.Rico.total_sequences","Puerto.Rico.20I..Alpha..V1.","Puerto.Rico.20H..Beta..V2.","Puerto.Rico.20J..Gamma..V3.","Puerto.Rico.21A..Delta.","Puerto.Rico.21I..Delta.","Puerto.Rico.21J..Delta.","Puerto.Rico.21K..Omicron.","Puerto.Rico.21L..Omicron.","Puerto.Rico.22C..Omicron.","Puerto.Rico.21D..Eta.","Puerto.Rico.21F..Iota.","Puerto.Rico.21G..Lambda.","Puerto.Rico.21H..Mu.","Puerto.Rico.20B.S.732A","Puerto.Rico.21C..Epsilon.","Puerto.Rico.S.677H.Robin1","Puerto.Rico.20G.S.677H.Robin2","Puerto.Rico.20G.S.677H.Bluebird","Puerto.Rico.20G.S.677H.Quail"
"1","2020-06-08",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2","2020-06-22",5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3","2020-07-06",12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4","2020-07-20",17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5","2020-08-03",36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6","2020-08-17",9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7","2020-08-31",15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8","2020-09-14",9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9","2020-09-28",15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10","2020-10-12",19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11","2020-10-26",29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12","2020-11-09",39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13","2020-11-23",22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
"14","2020-12-07",19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"15","2020-12-21",33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
"16","2021-01-11",45,2,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0
"17","2021-01-25",12,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"18","2021-02-08",7,2,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0
"19","2021-02-22",58,12,0,0,0,0,0,0,0,0,0,7,0,0,2,4,0,1,0,1
"20","2021-03-08",107,56,0,0,0,0,0,0,0,0,0,22,0,0,0,5,0,0,0,0
"21","2021-03-22",303,201,1,6,0,0,0,0,0,0,0,47,0,0,2,3,0,0,0,0
"22","2021-04-05",520,338,0,12,0,0,0,0,0,0,6,68,3,0,6,4,0,0,0,0
"23","2021-04-19",243,175,0,3,0,0,0,0,0,0,0,37,1,0,0,8,0,0,0,0
"24","2021-05-03",83,53,0,4,0,0,0,0,0,0,0,15,0,3,0,0,0,0,0,0
"25","2021-05-17",57,43,0,4,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0
"26","2021-05-31",68,29,0,12,0,2,0,0,0,0,0,5,0,17,0,0,0,0,0,0
"27","2021-06-14",90,18,0,9,11,3,15,0,0,0,0,6,0,24,0,0,0,0,0,0
