"","Rhode.Island.week","Rhode.Island.total_sequences","Rhode.Island.20I..Alpha..V1.","Rhode.Island.20H..Beta..V2.","Rhode.Island.20J..Gamma..V3.","Rhode.Island.21A..Delta.","Rhode.Island.21I..Delta.","Rhode.Island.21J..Delta.","Rhode.Island.21K..Omicron.","Rhode.Island.21L..Omicron.","Rhode.Island.22C..Omicron.","Rhode.Island.21D..Eta.","Rhode.Island.21F..Iota.","Rhode.Island.21G..Lambda.","Rhode.Island.21H..Mu.","Rhode.Island.20B.S.732A","Rhode.Island.20E..EU1.","Rhode.Island.21C..Epsilon.","Rhode.Island.20A.S.439K","Rhode.Island.S.677H.Robin1","Rhode.Island.S.677P.Pelican","Rhode.Island.20G.S.677H.Robin2","Rhode.Island.20G.S.677H.Yellowhammer","Rhode.Island.20G.S.677H.Bluebird","Rhode.Island.20G.S.677H.Quail"
"1","2020-04-27",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2","2020-05-11",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3","2020-05-25",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4","2020-06-08",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5","2020-06-22",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6","2020-07-06",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7","2020-07-20",5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8","2020-08-17",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9","2020-08-31",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10","2020-09-28",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11","2020-10-12",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12","2020-10-26",5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13","2020-11-09",15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"14","2020-11-23",50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15","2020-12-07",38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"16","2020-12-21",50,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,1,0,0,0,1,3
"17","2021-01-11",114,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,0,0,11
