"","South.Carolina.week","South.Carolina.total_sequences","South.Carolina.20I..Alpha..V1.","South.Carolina.20H..Beta..V2.","South.Carolina.20J..Gamma..V3.","South.Carolina.21A..Delta.","South.Carolina.21I..Delta.","South.Carolina.21J..Delta.","South.Carolina.21K..Omicron.","South.Carolina.21L..Omicron.","South.Carolina.22A..Omicron.","South.Carolina.22C..Omicron.","South.Carolina.21B..Kappa.","South.Carolina.21D..Eta.","South.Carolina.21F..Iota.","South.Carolina.21G..Lambda.","South.Carolina.21H..Mu.","South.Carolina.20B.S.732A","South.Carolina.20E..EU1.","South.Carolina.21C..Epsilon.","South.Carolina.S.677H.Robin1","South.Carolina.S.677P.Pelican","South.Carolina.20A.EU2","South.Carolina.20G.S.677H.Robin2","South.Carolina.20G.S.677H.Yellowhammer","South.Carolina.20G.S.677H.Bluebird","South.Carolina.20G.S.677H.Mockingbird"
"1","2020-04-27",17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2","2020-05-11",10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3","2020-05-25",15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4","2020-06-08",87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5","2020-06-22",119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6","2020-07-06",151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7","2020-07-20",129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8","2020-08-03",121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9","2020-08-17",16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10","2020-08-31",115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
