"","South.Dakota.week","South.Dakota.total_sequences","South.Dakota.20I..Alpha..V1.","South.Dakota.20H..Beta..V2.","South.Dakota.20J..Gamma..V3.","South.Dakota.21A..Delta.","South.Dakota.21I..Delta.","South.Dakota.21J..Delta.","South.Dakota.21K..Omicron.","South.Dakota.21L..Omicron.","South.Dakota.21F..Iota.","South.Dakota.21H..Mu.","South.Dakota.20B.S.732A","South.Dakota.21C..Epsilon.","South.Dakota.S.677H.Robin1","South.Dakota.S.677P.Pelican"
"1","2020-04-27",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2","2020-05-11",5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3","2020-06-08",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4","2020-06-22",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5","2020-07-06",6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6","2020-07-20",5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7","2020-08-03",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8","2020-08-17",9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9","2020-08-31",18,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10","2020-09-14",34,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"11","2020-09-28",19,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12","2020-10-12",26,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13","2020-10-26",13,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"14","2020-11-09",18,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"15","2020-11-23",11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"16","2020-12-07",25,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"17","2020-12-21",12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18","2021-01-11",3,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"19","2021-01-25",5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20","2021-02-08",16,3,0,0,0,0,0,0,0,0,0,0,1,0,0
"21","2021-02-22",58,21,1,0,0,0,0,0,0,1,0,0,12,1,0
"22","2021-03-08",88,54,0,1,0,0,0,0,0,2,0,2,8,0,0
"23","2021-03-22",95,71,0,0,0,0,0,0,0,2,0,3,3,0,0
"24","2021-04-05",67,50,1,1,0,0,0,0,0,5,0,1,3,0,0
"25","2021-04-19",66,53,0,1,0,0,0,0,0,8,0,0,3,0,0
"26","2021-05-03",25,25,0,0,0,0,0,0,0,0,0,0,0,0,0
"27","2021-05-17",11,10,0,0,0,0,0,0,0,0,0,0,0,0,0
"28","2021-05-31",6,2,0,0,0,0,4,0,0,0,0,0,0,0,0
"29","2021-06-14",20,4,0,0,1,0,15,0,0,0,0,0,0,0,0
"30","2021-06-28",54,3,0,0,1,1,48,0,0,0,0,0,0,0,0
"31","2021-07-12",85,1,0,0,2,3,79,0,0,0,0,0,0,0,0
"32","2021-07-26",164,2,0,0,5,10,146,0,0,0,1,0,0,0,0
"33","2021-08-09",301,0,0,0,10,25,266,0,0,0,0,0,0,0,0
"34","2021-08-23",392,0,0,0,3,24,365,0,0,0,0,0,0,0,0
"35","2021-09-06",319,0,0,0,7,17,295,0,0,0,0,0,0,0,0
"36","2021-09-20",243,0,0,0,7,7,229,0,0,0,0,0,0,0,0
"37","2021-10-04",242,0,0,0,3,8,231,0,0,0,0,0,0,0,0
"38","2021-10-18",177,0,0,0,0,3,174,0,0,0,0,0,0,0,0
"39","2021-11-01",189,0,0,0,0,3,185,0,0,0,0,0,0,0,0
"40","2021-11-15",179,0,0,0,2,6,171,0,0,0,0,0,0,0,0
"41","2021-11-29",321,0,0,0,0,11,310,0,0,0,0,0,0,0,0
"42","2021-12-13",286,0,0,0,1,2,222,61,0,0,0,0,0,0,0
"43","2021-12-27",475,0,0,0,0,1,72,401,0,0,0,0,0,0,0
"44","2022-01-10",440,0,0,0,0,0,11,429,0,0,0,0,0,0,0
"45","2022-01-24",328,0,0,0,0,0,2,325,1,0,0,0,0,0,0
"46","2022-02-07",122,0,0,0,0,0,0,121,1,0,0,0,0,0,0
"47","2022-02-21",34,0,0,0,0,0,0,33,1,0,0,0,0,0,0
"48","2022-03-07",4,0,0,0,0,0,0,2,2,0,0,0,0,0,0
"49","2022-03-21",6,0,0,0,0,0,0,4,2,0,0,0,0,0,0
"50","2022-04-04",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"51","2022-04-18",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
