"","Tennessee.week","Tennessee.total_sequences","Tennessee.20I..Alpha..V1.","Tennessee.20H..Beta..V2.","Tennessee.20J..Gamma..V3.","Tennessee.21A..Delta.","Tennessee.21I..Delta.","Tennessee.21J..Delta.","Tennessee.21K..Omicron.","Tennessee.21L..Omicron.","Tennessee.22B..Omicron.","Tennessee.22C..Omicron.","Tennessee.21B..Kappa.","Tennessee.21D..Eta.","Tennessee.21F..Iota.","Tennessee.21G..Lambda.","Tennessee.21H..Mu.","Tennessee.20B.S.732A","Tennessee.20E..EU1.","Tennessee.21C..Epsilon.","Tennessee.20A.S.439K","Tennessee.S.677H.Robin1","Tennessee.S.677P.Pelican","Tennessee.20G.S.677H.Robin2","Tennessee.20G.S.677H.Yellowhammer","Tennessee.20G.S.677H.Heron","Tennessee.20G.S.677H.Quail","Tennessee.20G.S.677H.Mockingbird"
"1","2020-04-27",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2","2020-05-11",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3","2020-05-25",10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4","2020-06-08",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5","2020-06-22",6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6","2020-07-06",28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7","2020-07-20",25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8","2020-08-03",13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9","2020-08-17",22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10","2020-08-31",46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11","2020-09-14",11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12","2020-09-28",26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13","2020-10-12",15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"14","2020-10-26",23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"15","2020-11-09",91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,4,0,0,0
"16","2020-11-23",52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
"17","2020-12-07",215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,4,7,4,0,0,0
"18","2020-12-21",171,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,15,2,13,7,0,0,0
"19","2021-01-11",400,12,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,12,0,49,2,30,6,0,0,0
"20","2021-01-25",184,22,0,0,0,0,0,0,0,0,0,0,3,1,0,0,3,0,11,0,8,3,14,2,0,0,0
"21","2021-02-08",139,12,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8,0,5,5,9,2,0,0,0
"22","2021-02-22",188,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,17,0,0,4,5,2,0,0,0
"23","2021-03-08",723,450,0,5,0,0,0,0,0,0,0,0,1,9,0,0,29,0,27,0,4,4,17,14,0,0,2
"24","2021-03-22",844,656,2,9,0,0,0,0,0,0,0,0,3,17,9,0,18,0,27,0,6,2,7,2,0,0,0
"25","2021-04-05",994,819,7,22,4,3,0,0,0,0,0,0,4,24,3,0,21,0,13,0,2,0,9,4,1,1,0
"26","2021-04-19",695,604,0,19,3,1,1,0,0,0,0,0,1,24,4,1,3,0,9,0,3,0,2,0,0,0,0
"27","2021-05-03",475,399,4,33,1,2,4,0,0,0,0,1,0,9,0,0,1,0,6,0,0,0,0,0,0,0,0
"28","2021-05-17",205,147,2,27,2,0,3,0,0,0,0,0,0,5,1,1,0,0,1,0,0,1,0,0,0,0,0
"29","2021-05-31",131,79,1,14,9,4,6,0,0,0,0,0,0,5,0,2,0,0,0,0,0,0,0,0,0,0,0
"30","2021-06-14",130,54,1,7,5,8,34,0,0,0,0,0,0,0,4,3,1,0,0,0,0,0,0,0,0,0,0
"31","2021-06-28",355,63,0,6,26,55,196,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
"32","2021-07-12",880,26,0,2,71,167,598,0,0,0,0,0,0,0,2,8,0,0,0,0,0,0,0,0,0,0,0
"33","2021-07-26",2560,20,0,9,133,344,2033,0,0,0,0,0,0,1,3,7,0,0,0,0,0,0,0,0,0,0,0
"34","2021-08-09",1718,6,0,1,57,242,1404,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"35","2021-08-23",4760,1,0,2,114,529,4102,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"36","2021-09-06",4278,1,0,0,73,417,3764,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0
"37","2021-09-20",2299,0,0,0,25,187,2074,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"38","2021-10-04",1545,0,0,0,15,110,1412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"39","2021-10-18",965,0,0,0,2,56,898,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"40","2021-11-01",791,0,0,0,3,43,727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"41","2021-11-15",705,0,0,0,1,33,663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"42","2021-11-29",799,0,0,0,1,33,746,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"43","2021-12-13",1588,0,0,0,0,26,620,937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"44","2021-12-27",5385,0,0,0,0,11,419,4849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"45","2022-01-10",8289,0,0,0,0,2,106,8164,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"46","2022-01-24",6368,0,0,0,0,1,17,6314,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"47","2022-02-07",1745,0,0,0,0,0,0,1720,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48","2022-02-21",469,0,0,0,0,0,0,438,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"49","2022-03-07",146,0,0,0,0,0,0,95,49,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"50","2022-03-21",131,0,0,0,0,0,0,49,79,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"51","2022-04-04",154,0,0,0,0,0,0,11,122,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"52","2022-04-18",298,0,0,0,0,0,0,5,198,15,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"53","2022-05-02",264,0,0,0,0,0,0,2,147,22,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
