"","USA.week","USA.total_sequences","USA.20I..Alpha..V1.","USA.20H..Beta..V2.","USA.20J..Gamma..V3.","USA.21A..Delta.","USA.21I..Delta.","USA.21J..Delta.","USA.21K..Omicron.","USA.21L..Omicron.","USA.21B..Kappa.","USA.21D..Eta.","USA.21F..Iota.","USA.21H..Mu.","USA.20B.S.732A","USA.21C..Epsilon.","USA.S.677H.Robin1","USA.S.677P.Pelican","USA.20G.S.677H.Robin2","USA.20G.S.677H.Bluebird","USA.20G.S.677H.Quail"
"1","2020-04-27",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2","2020-05-11",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3","2020-06-08",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4","2020-06-22",27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5","2020-07-06",62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6","2020-08-03",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7","2020-08-31",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8","2020-09-14",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9","2020-09-28",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10","2020-10-12",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11","2020-10-26",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12","2020-11-09",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13","2020-11-23",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"14","2020-12-07",21,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0
"15","2020-12-21",153,5,0,0,0,0,0,0,0,0,0,0,0,1,9,3,5,1,0,1
"16","2021-01-11",12,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0
"17","2021-01-25",8,0,0,0,0,0,0,0,0,0,1,0,0,2,1,0,0,0,0,0
"18","2021-02-08",5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"19","2021-02-22",21,3,0,0,0,0,0,0,0,0,0,6,0,1,1,0,1,0,0,0
"20","2021-03-08",41,5,0,0,0,0,0,0,0,0,0,14,0,1,6,0,2,0,0,1
"21","2021-03-22",35,9,0,0,0,0,0,0,0,0,0,15,0,3,2,0,0,1,0,0
"22","2021-04-05",59,32,1,0,1,0,0,0,0,0,0,12,0,0,11,0,1,0,0,0
"23","2021-04-19",9,2,0,0,0,0,0,0,0,0,0,2,0,0,4,0,0,0,0,0
"24","2021-05-03",7,4,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"25","2021-05-17",53,34,0,7,1,1,2,0,0,0,0,1,0,1,0,0,0,0,0,0
"26","2021-05-31",9,3,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"27","2021-06-14",2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"28","2021-06-28",4,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"29","2021-07-12",28,0,0,0,1,2,23,0,0,0,0,0,0,0,0,0,0,0,0,0
"30","2021-07-26",15,0,0,0,0,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0
"31","2021-08-09",22,0,0,0,0,4,17,0,0,0,0,0,0,0,0,0,0,0,0,0
"32","2021-08-23",29,0,0,0,1,3,24,0,0,0,0,0,1,0,0,0,0,0,0,0
"33","2021-09-06",10,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0
"34","2021-09-20",6,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0
"35","2021-10-04",16,0,0,0,0,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0
"36","2021-10-18",11,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0
"37","2021-11-01",8,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0
"38","2021-11-15",26,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0
"39","2021-11-29",23,0,0,1,0,1,18,2,0,0,0,0,0,0,1,0,0,0,0,0
"40","2021-12-13",25,0,0,0,0,1,10,14,0,0,0,0,0,0,0,0,0,0,0,0
"41","2021-12-27",53,0,0,0,0,0,4,49,0,0,0,0,0,0,0,0,0,0,0,0
"42","2022-01-10",3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
"43","2022-01-24",23,0,0,0,0,0,1,22,0,0,0,0,0,0,0,0,0,0,0,0
"44","2022-02-07",22,1,0,0,0,1,1,18,0,0,0,0,1,0,0,0,0,0,0,0
"45","2022-02-21",18,0,0,0,0,0,0,14,3,0,0,0,0,0,0,0,0,0,0,0
"46","2022-03-07",12,0,0,0,0,0,0,9,3,0,0,0,0,0,0,0,0,0,0,0
"47","2022-03-21",34,0,0,0,0,0,0,13,21,0,0,0,0,0,0,0,0,0,0,0
