"","Utah.week","Utah.total_sequences","Utah.20I..Alpha..V1.","Utah.20H..Beta..V2.","Utah.20J..Gamma..V3.","Utah.21A..Delta.","Utah.21I..Delta.","Utah.21J..Delta.","Utah.21K..Omicron.","Utah.21L..Omicron.","Utah.22B..Omicron.","Utah.22C..Omicron.","Utah.21B..Kappa.","Utah.21D..Eta.","Utah.21F..Iota.","Utah.21G..Lambda.","Utah.21H..Mu.","Utah.20B.S.732A","Utah.20E..EU1.","Utah.21C..Epsilon.","Utah.20A.S.439K","Utah.S.677H.Robin1","Utah.S.677P.Pelican","Utah.20G.S.677H.Robin2","Utah.20G.S.677H.Yellowhammer","Utah.20G.S.677H.Heron","Utah.20G.S.677H.Bluebird","Utah.20G.S.677H.Quail","Utah.20G.S.677H.Mockingbird"
"1","2020-04-27",328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2","2020-05-11",874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3","2020-05-25",364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4","2020-06-08",235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5","2020-06-22",70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6","2020-07-06",189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7","2020-07-20",180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8","2020-08-03",679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9","2020-08-17",242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10","2020-08-31",33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
"11","2020-09-14",38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
"12","2020-09-28",69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13","2020-10-12",82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"14","2020-10-26",93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,0,0,0,0,0
"15","2020-11-09",96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,1,0
"16","2020-11-23",367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,3,3,0,0,0,0,0,0
"17","2020-12-07",494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,11,5,6,0,0,0,0,0,0
"18","2020-12-21",540,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,17,4,5,4,1,0,0,0,1,0
"19","2021-01-11",3504,3,0,1,0,0,0,0,0,0,0,0,0,3,0,0,69,0,412,1,37,61,11,2,0,2,17,11
"20","2021-01-25",315,14,0,0,0,0,0,0,0,0,0,0,0,1,0,0,9,0,49,0,5,4,1,0,0,0,2,0
"21","2021-02-08",244,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,1,50,0,2,6,0,0,1,0,1,0
"22","2021-02-22",238,90,0,2,0,0,0,0,0,0,0,0,1,1,0,0,10,0,54,0,2,3,0,2,0,0,0,0
"23","2021-03-08",634,326,1,6,0,0,1,0,0,0,0,0,4,8,0,0,54,0,131,0,9,1,1,0,0,0,0,0
