"","Vermont.week","Vermont.total_sequences","Vermont.20I..Alpha..V1.","Vermont.20H..Beta..V2.","Vermont.20J..Gamma..V3.","Vermont.21A..Delta.","Vermont.21I..Delta.","Vermont.21J..Delta.","Vermont.21K..Omicron.","Vermont.21L..Omicron.","Vermont.22A..Omicron.","Vermont.22B..Omicron.","Vermont.22C..Omicron.","Vermont.21D..Eta.","Vermont.21F..Iota.","Vermont.21G..Lambda.","Vermont.21H..Mu.","Vermont.20B.S.732A","Vermont.21C..Epsilon.","Vermont.S.677H.Robin1","Vermont.S.677P.Pelican","Vermont.20G.S.677H.Robin2","Vermont.20G.S.677H.Bluebird","Vermont.20G.S.677H.Quail"
"1","2020-05-25",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2","2020-09-28",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3","2020-11-09",15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4","2020-11-23",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5","2020-12-21",16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"6","2021-01-11",15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"7","2021-01-25",40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,2,0,1
"8","2021-02-08",39,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,0,0,1,1
"9","2021-02-22",48,7,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,8,2,0,0,1,9
"10","2021-03-08",134,43,0,0,0,0,0,0,0,0,0,0,0,8,0,0,2,14,2,0,0,0,8
"11","2021-03-22",122,73,0,4,0,0,0,0,0,0,0,0,0,15,0,0,6,7,0,0,0,0,1
"12","2021-04-05",153,97,0,1,0,0,0,0,0,0,0,0,0,41,0,0,1,10,0,0,0,0,0
"13","2021-04-19",232,162,0,13,0,1,0,0,0,0,0,0,0,38,1,0,0,3,0,0,0,0,0
"14","2021-05-03",231,140,2,5,0,0,1,0,0,0,0,0,0,65,0,0,0,1,0,0,0,0,0
"15","2021-05-17",71,40,0,1,1,0,0,0,0,0,0,0,1,18,0,0,0,0,0,0,0,0,0
"16","2021-05-31",10,8,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"17","2021-06-14",18,5,0,1,3,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18","2021-06-28",23,2,0,0,1,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"19","2021-07-12",74,1,0,0,6,7,59,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"20","2021-07-26",292,0,0,0,22,61,207,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
"21","2021-08-09",556,2,0,1,34,81,438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"22","2021-08-23",831,0,0,0,28,92,711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"23","2021-09-06",872,0,0,0,63,60,749,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"24","2021-09-20",955,0,0,0,35,47,873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"25","2021-10-04",1264,0,0,0,17,78,1169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"26","2021-10-18",1157,0,0,0,1,44,1111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"27","2021-11-01",1732,0,0,0,1,59,1672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"28","2021-11-15",1199,0,0,0,2,47,1150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29","2021-11-29",1645,0,0,0,44,25,1569,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"30","2021-12-13",295,0,0,0,1,5,170,119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"31","2021-12-27",1132,0,0,0,2,2,73,1053,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"32","2022-01-10",2085,0,0,0,0,1,32,2047,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"33","2022-01-24",1405,0,0,0,0,0,6,1364,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"34","2022-02-07",1395,0,0,0,0,1,1,1347,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"35","2022-02-21",934,0,0,0,0,0,2,712,218,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"36","2022-03-07",743,0,0,0,0,0,0,441,291,0,0,11,0,0,0,0,0,0,0,0,0,0,0
"37","2022-03-21",739,0,0,0,0,0,0,266,374,0,0,99,0,0,0,0,0,0,0,0,0,0,0
"38","2022-04-04",855,0,0,0,0,0,0,86,456,0,0,313,0,0,0,0,0,0,0,0,0,0,0
"39","2022-04-18",338,0,0,0,0,0,0,7,128,1,0,202,0,0,0,0,0,0,0,0,0,0,0
"40","2022-05-02",187,0,0,0,0,0,0,1,65,3,1,117,0,0,0,0,0,0,0,0,0,0,0
