"","Virginia.week","Virginia.total_sequences","Virginia.20I..Alpha..V1.","Virginia.20H..Beta..V2.","Virginia.20J..Gamma..V3.","Virginia.21A..Delta.","Virginia.21I..Delta.","Virginia.21J..Delta.","Virginia.21K..Omicron.","Virginia.21L..Omicron.","Virginia.22A..Omicron.","Virginia.22B..Omicron.","Virginia.22C..Omicron.","Virginia.21B..Kappa.","Virginia.21D..Eta.","Virginia.21F..Iota.","Virginia.21G..Lambda.","Virginia.21H..Mu.","Virginia.20B.S.732A","Virginia.20E..EU1.","Virginia.21C..Epsilon.","Virginia.20A.S.439K","Virginia.S.677H.Robin1","Virginia.S.677P.Pelican","Virginia.20G.S.677H.Robin2","Virginia.20G.S.677H.Yellowhammer","Virginia.20G.S.677H.Quail","Virginia.20G.S.677H.Mockingbird"
"1","2020-04-27",151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2","2020-05-11",86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3","2020-05-25",84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4","2020-06-08",73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5","2020-06-22",54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6","2020-07-06",99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7","2020-07-20",82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8","2020-08-03",95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9","2020-08-17",94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10","2020-08-31",60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11","2020-09-14",75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12","2020-09-28",79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13","2020-10-12",89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"14","2020-10-26",120,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"15","2020-11-09",163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0
