"","Washington.DC.week","Washington.DC.total_sequences","Washington.DC.20I..Alpha..V1.","Washington.DC.20H..Beta..V2.","Washington.DC.20J..Gamma..V3.","Washington.DC.21A..Delta.","Washington.DC.21I..Delta.","Washington.DC.21J..Delta.","Washington.DC.21K..Omicron.","Washington.DC.21L..Omicron.","Washington.DC.22A..Omicron.","Washington.DC.22B..Omicron.","Washington.DC.22C..Omicron.","Washington.DC.21B..Kappa.","Washington.DC.21D..Eta.","Washington.DC.21F..Iota.","Washington.DC.21G..Lambda.","Washington.DC.21H..Mu.","Washington.DC.20B.S.732A","Washington.DC.20E..EU1.","Washington.DC.21C..Epsilon.","Washington.DC.S.677H.Robin1","Washington.DC.S.677P.Pelican","Washington.DC.20A.EU2","Washington.DC.20G.S.677H.Robin2","Washington.DC.20G.S.677H.Quail","Washington.DC.20G.S.677H.Mockingbird"
"1","2020-04-27",15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2","2020-05-11",6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3","2020-05-25",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4","2020-06-08",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5","2020-06-22",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6","2020-07-06",8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7","2020-07-20",9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8","2020-08-31",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9","2020-09-14",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10","2020-09-28",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11","2020-10-12",5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
