"","Washington.week","Washington.total_sequences","Washington.20I..Alpha..V1.","Washington.20H..Beta..V2.","Washington.20J..Gamma..V3.","Washington.21A..Delta.","Washington.21I..Delta.","Washington.21J..Delta.","Washington.21K..Omicron.","Washington.21L..Omicron.","Washington.22A..Omicron.","Washington.22B..Omicron.","Washington.22C..Omicron.","Washington.21B..Kappa.","Washington.21D..Eta.","Washington.21F..Iota.","Washington.21G..Lambda.","Washington.21H..Mu.","Washington.20B.S.732A","Washington.20E..EU1.","Washington.21C..Epsilon.","Washington.20A.S.439K","Washington.S.677H.Robin1","Washington.S.677P.Pelican","Washington.20G.S.677H.Robin2","Washington.20G.S.677H.Yellowhammer","Washington.20G.S.677H.Quail","Washington.20G.S.677H.Mockingbird"
"1","2020-04-27",417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2","2020-05-11",368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3","2020-05-25",732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4","2020-06-08",726,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5","2020-06-22",401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6","2020-07-06",95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7","2020-07-20",111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8","2020-08-03",432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9","2020-08-17",74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10","2020-08-31",130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11","2020-09-14",56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12","2020-09-28",91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13","2020-10-12",141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"14","2020-10-26",190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15","2020-11-09",355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0
"16","2020-11-23",322,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,2,0,0,0,0,0
"17","2020-12-07",354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,13,0,1,2,0,1,0,0
"18","2020-12-21",611,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,0,5,8,2,0,3,0
"19","2021-01-11",708,24,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,12,2,99,3,6,19,1,2,2,1
"20","2021-01-25",1249,20,2,3,0,0,0,0,0,0,0,0,0,4,1,2,0,37,5,302,0,14,52,3,3,6,4
"21","2021-02-08",764,54,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,11,2,241,0,23,22,4,0,1,1
"22","2021-02-22",1339,118,5,8,0,0,0,0,0,0,0,0,0,2,5,1,0,49,1,494,0,40,26,13,3,7,0
"23","2021-03-08",1251,320,10,18,0,0,0,0,0,0,0,0,0,10,18,0,0,24,0,501,0,32,26,9,4,0,3
"24","2021-03-22",2091,724,18,119,1,0,0,0,0,0,0,0,5,15,83,2,0,103,0,684,0,26,18,10,16,0,2
"25","2021-04-05",3976,1842,47,417,14,4,2,0,0,0,0,0,14,26,189,3,2,250,0,837,0,11,35,7,11,0,1
"26","2021-04-19",4362,2573,97,492,32,10,26,0,0,0,0,0,14,23,164,12,4,163,0,559,0,4,15,1,5,0,0
"27","2021-05-03",3091,2041,46,382,12,18,34,0,0,0,0,0,3,6,96,6,8,60,0,281,0,0,5,1,0,0,0
"28","2021-05-17",2019,1103,26,418,10,13,147,0,0,0,0,0,0,0,67,0,13,25,0,78,0,0,1,0,0,0,0
"29","2021-05-31",1423,669,4,269,24,13,234,0,0,0,0,0,0,1,48,0,9,11,0,31,0,0,0,0,0,0,0
"30","2021-06-14",1215,460,1,157,32,30,404,0,0,0,0,0,1,0,35,1,11,7,0,9,0,0,0,0,0,0,0
"31","2021-06-28",1278,169,4,87,83,57,815,0,0,0,0,0,0,0,11,0,10,0,0,0,0,0,0,0,0,0,0
"32","2021-07-12",2794,93,0,69,239,238,2064,0,0,0,0,0,0,0,1,4,47,0,0,0,0,0,0,0,0,0,0
"33","2021-07-26",4499,34,0,26,257,360,3762,0,0,0,0,0,0,0,1,0,43,0,0,0,0,0,0,0,0,0,0
"34","2021-08-09",5593,17,0,20,335,514,4687,0,0,0,0,0,0,0,1,0,12,0,0,0,0,0,0,0,0,0,0
"35","2021-08-23",4113,2,0,9,135,299,3664,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"36","2021-09-06",3935,2,0,0,119,221,3581,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0
"37","2021-09-20",3206,0,0,0,51,171,2981,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"38","2021-10-04",2616,0,0,0,38,98,2480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"39","2021-10-18",2967,0,0,0,45,100,2822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"40","2021-11-01",2256,0,0,0,29,68,2159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
