"","West.Virginia.week","West.Virginia.total_sequences","West.Virginia.20I..Alpha..V1.","West.Virginia.20H..Beta..V2.","West.Virginia.20J..Gamma..V3.","West.Virginia.21A..Delta.","West.Virginia.21I..Delta.","West.Virginia.21J..Delta.","West.Virginia.21K..Omicron.","West.Virginia.21L..Omicron.","West.Virginia.22C..Omicron.","West.Virginia.21D..Eta.","West.Virginia.21F..Iota.","West.Virginia.21G..Lambda.","West.Virginia.21H..Mu.","West.Virginia.20B.S.732A","West.Virginia.20A.S.126A","West.Virginia.20E..EU1.","West.Virginia.21C..Epsilon.","West.Virginia.S.677H.Robin1","West.Virginia.S.677P.Pelican","West.Virginia.20G.S.677H.Robin2","West.Virginia.20G.S.677H.Yellowhammer","West.Virginia.20G.S.677H.Heron","West.Virginia.20G.S.677H.Bluebird","West.Virginia.20G.S.677H.Quail","West.Virginia.20G.S.677H.Mockingbird"
"1","2020-04-27",5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2","2020-05-11",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3","2020-07-06",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4","2020-10-12",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5","2020-11-09",23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0
"6","2020-11-23",24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
"7","2020-12-07",27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
"8","2020-12-21",542,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,95,0,7,1,0,0,0,0
"9","2021-01-11",333,2,0,0,0,0,0,0,0,0,1,2,0,0,2,0,2,3,67,0,1,3,0,0,0,0
"10","2021-01-25",176,1,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,7,31,1,1,0,0,0,0,1
"11","2021-02-08",211,3,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,50,20,3,0,1,0,0,0,1
"12","2021-02-22",245,21,0,0,0,0,0,0,0,0,6,1,0,0,3,0,0,72,35,1,0,3,0,0,0,1
"13","2021-03-08",583,129,0,0,0,0,0,0,0,0,16,3,1,0,25,0,3,92,52,1,1,6,0,2,0,2
"14","2021-03-22",811,360,2,0,0,0,0,0,0,0,24,18,1,0,14,0,0,61,43,1,1,3,2,0,0,1
"15","2021-04-05",837,552,1,3,0,1,0,0,0,0,33,15,3,0,5,1,0,19,13,0,1,3,1,0,1,1
"16","2021-04-19",880,559,1,4,1,2,0,0,0,0,34,89,1,0,5,0,0,6,9,1,0,1,0,0,0,0
"17","2021-05-03",808,515,0,7,1,0,0,0,0,0,12,82,0,0,3,0,0,1,0,0,0,0,0,0,0,0
