"","Wisconsin.week","Wisconsin.total_sequences","Wisconsin.20I..Alpha..V1.","Wisconsin.20H..Beta..V2.","Wisconsin.20J..Gamma..V3.","Wisconsin.21A..Delta.","Wisconsin.21I..Delta.","Wisconsin.21J..Delta.","Wisconsin.21K..Omicron.","Wisconsin.21L..Omicron.","Wisconsin.22A..Omicron.","Wisconsin.22B..Omicron.","Wisconsin.22C..Omicron.","Wisconsin.21B..Kappa.","Wisconsin.21D..Eta.","Wisconsin.21F..Iota.","Wisconsin.21G..Lambda.","Wisconsin.21H..Mu.","Wisconsin.20B.S.732A","Wisconsin.20E..EU1.","Wisconsin.21C..Epsilon.","Wisconsin.S.677H.Robin1","Wisconsin.S.677P.Pelican","Wisconsin.20A.S.98F","Wisconsin.20G.S.677H.Robin2","Wisconsin.20G.S.677H.Yellowhammer","Wisconsin.20G.S.677H.Bluebird","Wisconsin.20G.S.677H.Quail","Wisconsin.20G.S.677H.Mockingbird"
"1","2020-04-27",47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2","2020-05-11",125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3","2020-05-25",76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4","2020-06-08",126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5","2020-06-22",298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6","2020-07-06",174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7","2020-07-20",145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8","2020-08-03",138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9","2020-08-17",155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0
"10","2020-08-31",743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0
"11","2020-09-14",840,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0
"12","2020-09-28",381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0
