"","Wyoming.week","Wyoming.total_sequences","Wyoming.20I..Alpha..V1.","Wyoming.20H..Beta..V2.","Wyoming.20J..Gamma..V3.","Wyoming.21A..Delta.","Wyoming.21I..Delta.","Wyoming.21J..Delta.","Wyoming.21K..Omicron.","Wyoming.21L..Omicron.","Wyoming.22C..Omicron.","Wyoming.21D..Eta.","Wyoming.21F..Iota.","Wyoming.21G..Lambda.","Wyoming.21H..Mu.","Wyoming.20B.S.732A","Wyoming.20E..EU1.","Wyoming.21C..Epsilon.","Wyoming.S.677H.Robin1","Wyoming.S.677P.Pelican","Wyoming.20G.S.677H.Robin2","Wyoming.20G.S.677H.Yellowhammer","Wyoming.20G.S.677H.Bluebird","Wyoming.20G.S.677H.Quail","Wyoming.20G.S.677H.Mockingbird"
"1","2020-04-27",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2","2020-05-11",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3","2020-05-25",9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4","2020-06-08",33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5","2020-06-22",47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6","2020-07-06",36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7","2020-07-20",48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8","2020-08-03",11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9","2020-08-17",85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10","2020-08-31",15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11","2020-09-14",80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12","2020-09-28",323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13","2020-10-12",769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,1,0
"14","2020-10-26",2328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,0
"15","2020-11-09",3326,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,6,8,10,0,0,0,0,0
"16","2020-11-23",1710,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,9,5,0,0,1,0,1
"17","2020-12-07",770,0,0,0,0,0,0,0,0,0,0,5,0,0,0,2,11,6,7,1,0,0,2,0
"18","2020-12-21",703,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,7,23,3,0,0,0,3
"19","2021-01-11",373,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,22,4,11,3,2,0,5,0
"20","2021-01-25",295,3,1,0,0,0,0,0,0,0,0,3,0,0,2,0,58,3,4,0,0,0,1,4
"21","2021-02-08",273,3,0,0,0,0,0,0,0,0,0,12,0,0,2,0,60,1,11,1,0,0,0,0
